# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.687 us    |  sealfs_show_options [sealfs]();
 5) * 12966.67 us |  sealfs_write [sealfs]();
 5) * 10418.49 us |  sealfs_write [sealfs]();
 5) * 10593.99 us |  sealfs_write [sealfs]();
 5) * 10510.32 us |  sealfs_write [sealfs]();
 5) * 10744.00 us |  sealfs_write [sealfs]();
 5) * 10361.91 us |  sealfs_write [sealfs]();
 5) * 12558.89 us |  sealfs_write [sealfs]();
 5) * 11449.39 us |  sealfs_write [sealfs]();
 5) * 10811.69 us |  sealfs_write [sealfs]();
 7) * 10931.54 us |  sealfs_write [sealfs]();
 7) * 10765.60 us |  sealfs_write [sealfs]();
 7) * 10817.19 us |  sealfs_write [sealfs]();
 7) * 10681.69 us |  sealfs_write [sealfs]();
 7) * 12461.70 us |  sealfs_write [sealfs]();
 7) * 12086.88 us |  sealfs_write [sealfs]();
 7) * 10563.38 us |  sealfs_write [sealfs]();
 7) * 11078.10 us |  sealfs_write [sealfs]();
 7) * 11750.04 us |  sealfs_write [sealfs]();
 7) * 11682.90 us |  sealfs_write [sealfs]();
 ------------------------------------------
 3)  collect-1284  => ros1sea-314283
 ------------------------------------------

 3) * 11079.29 us |  sealfs_write [sealfs]();
 3) * 12761.13 us |  sealfs_write [sealfs]();
 7) * 11159.00 us |  sealfs_write [sealfs]();
 7) * 11158.06 us |  sealfs_write [sealfs]();
 7) * 10791.96 us |  sealfs_write [sealfs]();
 7) * 10895.54 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1)  collect-1284  =>  collect-1285 
 ------------------------------------------

 1)   2.616 us    |  sealfs_show_options [sealfs]();
 1)   1.524 us    |  sealfs_statfs [sealfs]();
 6)   2.116 us    |  sealfs_show_options [sealfs]();
 6)   0.553 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 0)  <...>-315742  => openvpn-316243
 ------------------------------------------

 0)   1.070 us    |  sealfs_show_options [sealfs]();
 0)   0.485 us    |  sealfs_show_options [sealfs]();
 0)   0.727 us    |  sealfs_show_options [sealfs]();
 0)   0.540 us    |  sealfs_show_options [sealfs]();
 0)   0.589 us    |  sealfs_show_options [sealfs]();
 0)   0.435 us    |  sealfs_show_options [sealfs]();
 0)   0.564 us    |  sealfs_show_options [sealfs]();
 0)   0.405 us    |  sealfs_show_options [sealfs]();
 0)   0.557 us    |  sealfs_show_options [sealfs]();
 0)   0.420 us    |  sealfs_show_options [sealfs]();
 0)   0.708 us    |  sealfs_show_options [sealfs]();
 0)   0.545 us    |  sealfs_show_options [sealfs]();
 0)   0.561 us    |  sealfs_show_options [sealfs]();
 0)   0.400 us    |  sealfs_show_options [sealfs]();
 0)   0.595 us    |  sealfs_show_options [sealfs]();
 0)   0.461 us    |  sealfs_show_options [sealfs]();
 0)   0.725 us    |  sealfs_show_options [sealfs]();
 0)   0.565 us    |  sealfs_show_options [sealfs]();
 0)   0.533 us    |  sealfs_show_options [sealfs]();
 0)   0.487 us    |  sealfs_show_options [sealfs]();
 0)   0.572 us    |  sealfs_show_options [sealfs]();
 0)   0.461 us    |  sealfs_show_options [sealfs]();
 0)   0.482 us    |  sealfs_show_options [sealfs]();
 0)   0.489 us    |  sealfs_show_options [sealfs]();
 0)   0.587 us    |  sealfs_show_options [sealfs]();
 0)   0.492 us    |  sealfs_show_options [sealfs]();
 0)   0.677 us    |  sealfs_show_options [sealfs]();
 0)   0.462 us    |  sealfs_show_options [sealfs]();
 0)   0.569 us    |  sealfs_show_options [sealfs]();
 0)   0.474 us    |  sealfs_show_options [sealfs]();
 0)   0.565 us    |  sealfs_show_options [sealfs]();
 0)   0.443 us    |  sealfs_show_options [sealfs]();
 0)   0.682 us    |  sealfs_show_options [sealfs]();
 0)   0.589 us    |  sealfs_show_options [sealfs]();
 7) * 11325.78 us |  sealfs_write [sealfs]();
 7) * 10823.85 us |  sealfs_write [sealfs]();
 3) * 11001.95 us |  sealfs_write [sealfs]();
 7) * 11351.67 us |  sealfs_write [sealfs]();
 7) * 11451.55 us |  sealfs_write [sealfs]();
 7) * 13035.02 us |  sealfs_write [sealfs]();
 7) * 10856.95 us |  sealfs_write [sealfs]();
 7) * 10992.15 us |  sealfs_write [sealfs]();
 7) * 13148.89 us |  sealfs_write [sealfs]();
 7) * 11365.75 us |  sealfs_write [sealfs]();
 7) * 10942.19 us |  sealfs_write [sealfs]();
 7) * 11171.83 us |  sealfs_write [sealfs]();
 7) * 10970.93 us |  sealfs_write [sealfs]();
 7) * 13017.44 us |  sealfs_write [sealfs]();
 7) * 10711.14 us |  sealfs_write [sealfs]();
 7) * 10851.15 us |  sealfs_write [sealfs]();
 7) * 10877.33 us |  sealfs_write [sealfs]();
 7) * 10400.43 us |  sealfs_write [sealfs]();
 ------------------------------------------
 5) ros1sea-314283 =>   df-316598   
 ------------------------------------------

 5)   2.345 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 5)   df-316598    =>   df-316600   
 ------------------------------------------

 5)   1.566 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 6) openvpn-316243 =>   df-316602   
 ------------------------------------------

 6)   1.109 us    |  sealfs_show_options [sealfs]();
 7) * 10874.50 us |  sealfs_write [sealfs]();
 7) * 10974.56 us |  sealfs_write [sealfs]();
 3) * 10843.10 us |  sealfs_write [sealfs]();
 3) * 10669.86 us |  sealfs_write [sealfs]();
 3) * 10800.33 us |  sealfs_write [sealfs]();
 3) * 14473.37 us |  sealfs_write [sealfs]();
 3) * 11205.72 us |  sealfs_write [sealfs]();
 ------------------------------------------
 5)   df-316600    =>  <...>-316766 
 ------------------------------------------

 5)   2.808 us    |  sealfs_show_options [sealfs]();
 5)   1.048 us    |  sealfs_show_options [sealfs]();
 5)   0.850 us    |  sealfs_show_options [sealfs]();
 5)   0.596 us    |  sealfs_show_options [sealfs]();
 5)   0.567 us    |  sealfs_show_options [sealfs]();
 5)   0.583 us    |  sealfs_show_options [sealfs]();
 5)   0.643 us    |  sealfs_show_options [sealfs]();
 5)   0.540 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 6)   df-316602    =>  <...>-316766 
 ------------------------------------------

 6)   1.609 us    |  sealfs_show_options [sealfs]();
 6)   0.752 us    |  sealfs_show_options [sealfs]();
 6)   0.757 us    |  sealfs_show_options [sealfs]();
 6)   0.489 us    |  sealfs_show_options [sealfs]();
 6)   0.662 us    |  sealfs_show_options [sealfs]();
 6)   0.578 us    |  sealfs_show_options [sealfs]();
 6)   0.872 us    |  sealfs_show_options [sealfs]();
 6)   0.864 us    |  sealfs_show_options [sealfs]();
 6)   0.675 us    |  sealfs_show_options [sealfs]();
 6)   0.487 us    |  sealfs_show_options [sealfs]();
 6)   0.773 us    |  sealfs_show_options [sealfs]();
 6)   0.462 us    |  sealfs_show_options [sealfs]();
 6)   0.776 us    |  sealfs_show_options [sealfs]();
 6)   0.729 us    |  sealfs_show_options [sealfs]();
 6)   0.638 us    |  sealfs_show_options [sealfs]();
 6)   0.478 us    |  sealfs_show_options [sealfs]();
 6)   0.570 us    |  sealfs_show_options [sealfs]();
 6)   0.501 us    |  sealfs_show_options [sealfs]();
 6)   0.829 us    |  sealfs_show_options [sealfs]();
 6)   0.707 us    |  sealfs_show_options [sealfs]();
 6)   0.794 us    |  sealfs_show_options [sealfs]();
 6)   0.692 us    |  sealfs_show_options [sealfs]();
 6)   0.845 us    |  sealfs_show_options [sealfs]();
 6)   0.818 us    |  sealfs_show_options [sealfs]();
 6)   0.761 us    |  sealfs_show_options [sealfs]();
 6)   0.730 us    |  sealfs_show_options [sealfs]();
 6)   0.908 us    |  sealfs_show_options [sealfs]();
 6)   0.732 us    |  sealfs_show_options [sealfs]();
 3) * 10768.01 us |  sealfs_write [sealfs]();
 3) * 11006.68 us |  sealfs_write [sealfs]();
 3) * 10403.32 us |  sealfs_write [sealfs]();
 3) * 10189.29 us |  sealfs_write [sealfs]();
 3) * 10349.41 us |  sealfs_write [sealfs]();
 3) * 10648.28 us |  sealfs_write [sealfs]();
 3) * 10672.60 us |  sealfs_write [sealfs]();
 3) * 11789.34 us |  sealfs_write [sealfs]();
 3) * 10519.33 us |  sealfs_write [sealfs]();
 3) * 10622.74 us |  sealfs_write [sealfs]();
 3) * 10399.67 us |  sealfs_write [sealfs]();
 7) * 10155.48 us |  sealfs_write [sealfs]();
 7) # 9938.245 us |  sealfs_write [sealfs]();
 7) * 13949.47 us |  sealfs_write [sealfs]();
 7) * 10027.60 us |  sealfs_write [sealfs]();
 7) * 10133.81 us |  sealfs_write [sealfs]();
 7) * 10115.45 us |  sealfs_write [sealfs]();
 7) * 10747.41 us |  sealfs_write [sealfs]();
 7) * 15379.13 us |  sealfs_write [sealfs]();
 7) * 10596.67 us |  sealfs_write [sealfs]();
 7) * 10163.79 us |  sealfs_write [sealfs]();
 7) * 10709.92 us |  sealfs_write [sealfs]();
 7) # 9767.529 us |  sealfs_write [sealfs]();
 ------------------------------------------
 6)  <...>-316766  =>  collect-1283 
 ------------------------------------------

 6)   2.879 us    |  sealfs_show_options [sealfs]();
 6)   1.604 us    |  sealfs_statfs [sealfs]();
 3) # 9942.296 us |  sealfs_write [sealfs]();
 3) * 10317.17 us |  sealfs_write [sealfs]();
 ------------------------------------------
 4) (openvp-315315 => (openvp-317251
 ------------------------------------------

 4)   1.956 us    |  sealfs_show_options [sealfs]();
 4)   0.812 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 6)  collect-1283  => (openvp-317251
 ------------------------------------------

 6)   1.554 us    |  sealfs_show_options [sealfs]();
 6)   0.885 us    |  sealfs_show_options [sealfs]();
 6)   0.751 us    |  sealfs_show_options [sealfs]();
 6)   0.462 us    |  sealfs_show_options [sealfs]();
 6)   0.589 us    |  sealfs_show_options [sealfs]();
 6)   0.718 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 7) ros1sea-314283 => (openvp-317251
 ------------------------------------------

 7)   1.356 us    |  sealfs_show_options [sealfs]();
 7)   0.726 us    |  sealfs_show_options [sealfs]();
 7)   0.840 us    |  sealfs_show_options [sealfs]();
 7)   0.650 us    |  sealfs_show_options [sealfs]();
 7)   0.826 us    |  sealfs_show_options [sealfs]();
 7)   0.678 us    |  sealfs_show_options [sealfs]();
 7)   0.788 us    |  sealfs_show_options [sealfs]();
