# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 4) + 10.255 us   |  ext4_file_write_iter();
 1)   0.463 us    |  ext4_file_write_iter();
 1)   1.119 us    |  ext4_file_write_iter();
 1)   5.893 us    |  ext4_file_write_iter();
 6) # 1036.304 us |  ext4_file_write_iter();
 ------------------------------------------
 5)  rs:main-806   =>  <...>-158868 
 ------------------------------------------

 5) + 10.879 us   |  ext4_file_write_iter();
 5)   1.085 us    |  ext4_file_write_iter();
 5)   0.923 us    |  ext4_file_write_iter();
 5)   0.928 us    |  ext4_file_write_iter();
 5)   1.103 us    |  ext4_file_write_iter();
 5)   1.038 us    |  ext4_file_write_iter();
 5)   0.938 us    |  ext4_file_write_iter();
 5)   4.565 us    |  ext4_file_write_iter();
 5)   1.763 us    |  ext4_file_write_iter();
 5)   1.365 us    |  ext4_file_write_iter();
 5)   2.908 us    |  ext4_file_write_iter();
 5)   1.166 us    |  ext4_file_write_iter();
 5)   1.383 us    |  ext4_file_write_iter();
 5)   1.147 us    |  ext4_file_write_iter();
 5)   0.936 us    |  ext4_file_write_iter();
 5)   1.131 us    |  ext4_file_write_iter();
 5)   1.162 us    |  ext4_file_write_iter();
 5)   1.006 us    |  ext4_file_write_iter();
 5)   0.872 us    |  ext4_file_write_iter();
 5)   0.770 us    |  ext4_file_write_iter();
 5)   0.825 us    |  ext4_file_write_iter();
 5)   0.943 us    |  ext4_file_write_iter();
 5)   0.820 us    |  ext4_file_write_iter();
 5)   1.204 us    |  ext4_file_write_iter();
 5)   1.191 us    |  ext4_file_write_iter();
 5)   1.337 us    |  ext4_file_write_iter();
 5)   1.399 us    |  ext4_file_write_iter();
 5)   1.314 us    |  ext4_file_write_iter();
 5)   1.278 us    |  ext4_file_write_iter();
 5)   0.999 us    |  ext4_file_write_iter();
 5)   1.119 us    |  ext4_file_write_iter();
 5)   2.314 us    |  ext4_file_write_iter();
 5)   1.773 us    |  ext4_file_write_iter();
 5)   1.248 us    |  ext4_file_write_iter();
 5)   1.007 us    |  ext4_file_write_iter();
 5)   0.754 us    |  ext4_file_write_iter();
 5)   0.952 us    |  ext4_file_write_iter();
 5)   0.942 us    |  ext4_file_write_iter();
 5)   1.057 us    |  ext4_file_write_iter();
 5)   0.805 us    |  ext4_file_write_iter();
 5)   0.801 us    |  ext4_file_write_iter();
 5)   0.750 us    |  ext4_file_write_iter();
 5)   0.969 us    |  ext4_file_write_iter();
 5)   0.809 us    |  ext4_file_write_iter();
 5)   0.934 us    |  ext4_file_write_iter();
 5)   0.821 us    |  ext4_file_write_iter();
 5)   0.842 us    |  ext4_file_write_iter();
 5)   0.938 us    |  ext4_file_write_iter();
 5)   0.938 us    |  ext4_file_write_iter();
 5)   0.712 us    |  ext4_file_write_iter();
 5)   0.820 us    |  ext4_file_write_iter();
 5)   0.846 us    |  ext4_file_write_iter();
 5)   0.927 us    |  ext4_file_write_iter();
 5)   0.783 us    |  ext4_file_write_iter();
 5)   0.985 us    |  ext4_file_write_iter();
 5)   1.163 us    |  ext4_file_write_iter();
 5)   1.108 us    |  ext4_file_write_iter();
 5)   0.967 us    |  ext4_file_write_iter();
 5)   0.942 us    |  ext4_file_write_iter();
 5)   1.030 us    |  ext4_file_write_iter();
 5)   1.442 us    |  ext4_file_write_iter();
 ------------------------------------------
 5)  <...>-158868  =>  multilo-8699 
 ------------------------------------------

 5) + 11.805 us   |  ext4_file_write_iter();
 ------------------------------------------
 5)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 5) + 15.764 us   |  ext4_file_write_iter();
 ------------------------------------------
 7)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 7)   6.788 us    |  ext4_file_write_iter();
 0) + 10.878 us   |  ext4_file_write_iter();
 5) + 17.686 us   |  ext4_file_write_iter();
 ------------------------------------------
 5)  rosout-3320   =>  multilo-9071 
 ------------------------------------------

 5) + 15.010 us   |  ext4_file_write_iter();
 ------------------------------------------
 4)  multilo-8699  =>  multilo-9062 
 ------------------------------------------

 4)   7.854 us    |  ext4_file_write_iter();
 ------------------------------------------
 5)  multilo-9071  =>  rosout-3320  
 ------------------------------------------

 5)   4.583 us    |  ext4_file_write_iter();
 5)   1.441 us    |  ext4_file_write_iter();
 5)   1.155 us    |  ext4_file_write_iter();
 6) # 1126.804 us |  ext4_file_write_iter();
 ------------------------------------------
 0)  iotop-158800  =>  multilo-8699 
 ------------------------------------------

 0)   9.891 us    |  ext4_file_write_iter();
 ------------------------------------------
 0)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 0) + 11.867 us   |  ext4_file_write_iter();
 ------------------------------------------
 5)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 5)   5.409 us    |  ext4_file_write_iter();
 ------------------------------------------
 4)  multilo-9062  =>  python3-8998 
 ------------------------------------------

 4) + 11.135 us   |  ext4_file_write_iter();
 4)   5.155 us    |  ext4_file_write_iter();
 0)   9.970 us    |  ext4_file_write_iter();
 7) + 12.728 us   |  ext4_file_write_iter();
 ------------------------------------------
 4)  python3-8998  =>  rosout-3320  
 ------------------------------------------

 4) + 15.439 us   |  ext4_file_write_iter();
 ------------------------------------------
 0)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 0)   3.639 us    |  ext4_file_write_iter();
 6) # 1198.056 us |  ext4_file_write_iter();
 ------------------------------------------
 7)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 7) + 18.544 us   |  ext4_file_write_iter();
 ------------------------------------------
 1)  <...>-158867  =>  multilo-8699 
 ------------------------------------------

 1) + 12.231 us   |  ext4_file_write_iter();
 1)   4.056 us    |  ext4_file_write_iter();
 7) + 10.990 us   |  ext4_file_write_iter();
 7) + 10.460 us   |  ext4_file_write_iter();
 ------------------------------------------
 7)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 7) + 12.366 us   |  ext4_file_write_iter();
 ------------------------------------------
 7)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 7)   6.152 us    |  ext4_file_write_iter();
 ------------------------------------------
 7)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 7) + 10.757 us   |  ext4_file_write_iter();
 ------------------------------------------
 7)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 7) + 14.171 us   |  ext4_file_write_iter();
 6) # 1398.876 us |  ext4_file_write_iter();
 ------------------------------------------
 7)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 7) + 11.730 us   |  ext4_file_write_iter();
 ------------------------------------------
 7)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 7) + 12.564 us   |  ext4_file_write_iter();
 1) + 13.412 us   |  ext4_file_write_iter();
 7)   2.736 us    |  ext4_file_write_iter();
 6) # 1324.930 us |  ext4_file_write_iter();
 1) + 10.019 us   |  ext4_file_write_iter();
 ------------------------------------------
 1)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 1) + 12.884 us   |  ext4_file_write_iter();
 ------------------------------------------
 1)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 1)   5.992 us    |  ext4_file_write_iter();
 ------------------------------------------
 5)  multilo-8699  =>  rs:main-806  
 ------------------------------------------

 5)   7.452 us    |  ext4_file_write_iter();
 ------------------------------------------
 1)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 1) + 10.059 us   |  ext4_file_write_iter();
 ------------------------------------------
 1)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 1) + 12.459 us   |  ext4_file_write_iter();
 ------------------------------------------
 1)  multilo-8699  =>  rosout-3320  
 ------------------------------------------

 1) + 14.236 us   |  ext4_file_write_iter();
 ------------------------------------------
 4)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 4)   5.043 us    |  ext4_file_write_iter();
 1) + 18.532 us   |  ext4_file_write_iter();
 6) ! 945.020 us  |  ext4_file_write_iter();
 4) + 10.338 us   |  ext4_file_write_iter();
 4)   1.942 us    |  ext4_file_write_iter();
 1) + 10.369 us   |  ext4_file_write_iter();
 1) + 11.152 us   |  ext4_file_write_iter();
 ------------------------------------------
 7)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 7) + 12.673 us   |  ext4_file_write_iter();
 1) + 18.040 us   |  ext4_file_write_iter();
 ------------------------------------------
 0)  multilo-8699  =>  iotop-158800 
 ------------------------------------------

 0)   9.206 us    |  ext4_file_write_iter();
 ------------------------------------------
 4)  multilo-8699  =>  multilo-9062 
 ------------------------------------------

 4) + 11.593 us   |  ext4_file_write_iter();
 1)   5.840 us    |  ext4_file_write_iter();
 ------------------------------------------
 1)  rosout-3320   =>  multilo-9062 
 ------------------------------------------

 1) + 10.084 us   |  ext4_file_write_iter();
 ------------------------------------------
 1)  multilo-9062  =>  rosout-3320  
 ------------------------------------------

 1)   3.840 us    |  ext4_file_write_iter();
 ------------------------------------------
 0)  iotop-158800  =>  multilo-9071 
 ------------------------------------------

 0)   8.439 us    |  ext4_file_write_iter();
 1)   4.970 us    |  ext4_file_write_iter();
 ------------------------------------------
 2)  rosout-3320   => ros1sea-158367
 ------------------------------------------

 2) ! 997.741 us  |  ext4_file_write_iter();
 ------------------------------------------
 1)  rosout-3320   =>  multilo-8699 
 ------------------------------------------

 1) + 12.966 us   |  ext4_file_write_iter();
 1)   2.775 us    |  ext4_file_write_iter();
 ------------------------------------------
 5)  rs:main-806   =>  rosout-3320  
 ------------------------------------------

 5) + 13.051 us   |  ext4_file_write_iter();
 ------------------------------------------
 7)  multilo-8699  =>  carbon--1746 
 ------------------------------------------

 7)   4.945 us    |  ext4_file_write_iter();
 7)   2.995 us    |  ext4_file_write_iter();
 7)   2.059 us    |  ext4_file_write_iter();
 7)   2.302 us    |  ext4_file_write_iter();
 7)   1.948 us    |  ext4_file_write_iter();
 7)   2.500 us    |  ext4_file_write_iter();
 7)   2.310 us    |  ext4_file_write_iter();
 7)   3.021 us    |  ext4_file_write_iter();
 7)   2.237 us    |  ext4_file_write_iter();
 7)   2.338 us    |  ext4_file_write_iter();
 7)   2.498 us    |  ext4_file_write_iter();
 7)   2.185 us    |  ext4_file_write_iter();
 7)   2.002 us    |  ext4_file_write_iter();
 7)   1.865 us    |  ext4_file_write_iter();
 7)   1.829 us    |  ext4_file_write_iter();
 7)   1.832 us    |  ext4_file_write_iter();
 7)   1.798 us    |  ext4_file_write_iter();
 7)   1.810 us    |  ext4_file_write_iter();
 7)   2.064 us    |  ext4_file_write_iter();
 7)   1.847 us    |  ext4_file_write_iter();
 7)   2.351 us    |  ext4_file_write_iter();
 7)   1.806 us    |  ext4_file_write_iter();
 7)   1.780 us    |  ext4_file_write_iter();
 7)   1.804 us    |  ext4_file_write_iter();
 7)   1.751 us    |  ext4_file_write_iter();
 7)   2.337 us    |  ext4_file_write_iter();
 7)   2.423 us    |  ext4_file_write_iter();
 7)   1.848 us    |  ext4_file_write_iter();
 7)   1.918 us    |  ext4_file_write_iter();
 7)   1.817 us    |  ext4_file_write_iter();
 7)   1.963 us    |  ext4_file_write_iter();
 7)   2.393 us    |  ext4_file_write_iter();
 7)   1.868 us    |  ext4_file_write_iter();
 7)   1.783 us    |  ext4_file_write_iter();
 7)   2.134 us    |  ext4_file_write_iter();
 7)   2.551 us    |  ext4_file_write_iter();
 7)   2.168 us    |  ext4_file_write_iter();
 7)   2.569 us    |  ext4_file_write_iter();
 7)   2.698 us    |  ext4_file_write_iter();
 7)   2.202 us    |  ext4_file_write_iter();
 7)   1.804 us    |  ext4_file_write_iter();
 7)   1.913 us    |  ext4_file_write_iter();
 7)   2.180 us    |  ext4_file_write_iter();
 7)   1.725 us    |  ext4_file_write_iter();
 7)   1.742 us    |  ext4_file_write_iter();
 7)   2.131 us    |  ext4_file_write_iter();
 7)   2.286 us    |  ext4_file_write_iter();
 7)   1.937 us    |  ext4_file_write_iter();
 7)   2.063 us    |  ext4_file_write_iter();
 7)   1.886 us    |  ext4_file_write_iter();
 7)   1.746 us    |  ext4_file_write_iter();
 7)   1.955 us    |  ext4_file_write_iter();
 7)   1.769 us    |  ext4_file_write_iter();
 7)   1.770 us    |  ext4_file_write_iter();
 7)   1.855 us    |  ext4_file_write_iter();
 7)   2.450 us    |  ext4_file_write_iter();
 7) + 14.872 us   |  ext4_file_write_iter();
 7)   1.771 us    |  ext4_file_write_iter();
 7)   1.893 us    |  ext4_file_write_iter();
 7)   1.693 us    |  ext4_file_write_iter();
 7)   1.823 us    |  ext4_file_write_iter();
 7)   1.767 us    |  ext4_file_write_iter();
 7)   1.708 us    |  ext4_file_write_iter();
 7)   1.793 us    |  ext4_file_write_iter();
 7)   1.893 us    |  ext4_file_write_iter();
 7)   2.070 us    |  ext4_file_write_iter();
 7)   1.796 us    |  ext4_file_write_iter();
 7)   1.815 us    |  ext4_file_write_iter();
 7)   1.943 us    |  ext4_file_write_iter();
 7)   1.871 us    |  ext4_file_write_iter();
 7)   1.794 us    |  ext4_file_write_iter();
 7)   1.690 us    |  ext4_file_write_iter();
 7)   1.880 us    |  ext4_file_write_iter();
