Summit Bandwidth on Navigation Test,bandwidth (kB/s)
sealfs,7.73
sealfs,15.45
sealfs,7.73
sealfs,15.38
sealfs,7.73
sealfs,15.45
sealfs,7.72
sealfs,15.45
sealfs,11.59
sealfs,15.49
sealfs,7.72
sealfs,15.45
sealfs,15.45
sealfs,7.73
sealfs,15.44
sealfs,11.59
sealfs,15.45
sealfs,7.72
sealfs,15.44
sealfs,15.44
sealfs,7.73
sealfs,7.71
sealfs,11.59
sealfs,15.45
sealfs,7.73
sealfs,15.46
sealfs,7.73
sealfs,15.46
sealfs,7.71
sealfs,15.45
sealfs,7.71
sealfs,15.43
sealfs,7.72
sealfs,15.43
sealfs,15.45
sealfs,7.72
sealfs,7.72
sealfs,11.59
sealfs,15.45
sealfs,7.67
sealfs,15.41
sealfs,7.73
sealfs,15.46
sealfs,7.73
sealfs,15.44
sealfs,15.46
sealfs,7.72
sealfs,7.7
sealfs,15.45
sealfs,7.73
sealfs,15.39
sealfs,15.46
sealfs,7.67
sealfs,11.57
sealfs,7.72
sealfs,15.45
sealfs,7.73
sealfs,15.42
sealfs,7.71
sealfs,15.36
sealfs,7.73
sealfs,15.44
sealfs,15.45
sealfs,7.72
sealfs,7.73
sealfs,15.46
sealfs,15.46
sealfs,3.86
sealfs,7.73
sealfs,15.45
sealfs,7.73
sealfs,15.45
sealfs,11.58
sealfs,15.45
sealfs,15.45
sealfs,7.72
sealfs,7.73
sealfs,15.45
sealfs,7.72
sealfs,15.45
sealfs,15.46
sealfs,7.73
sealfs,15.44
sealfs,3.86
sealfs,15.45
sealfs,7.72
sealfs,15.44
sealfs,7.72
sealfs,15.41
sealfs,7.72
sealfs,15.44
sealfs,7.72
sealfs,15.36
sealfs,7.72
sealfs,15.46
sealfs,7.72
sealfs,15.46
sealfs,7.73
sealfs,15.45
sealfs,15.44
sealfs,7.72
sealfs,15.44
sealfs,3.86
sealfs,15.45
sealfs,7.72
sealfs,15.43
sealfs,7.68
sealfs,15.45
sealfs,7.73
sealfs,15.43
sealfs,7.73
sealfs,15.44
sealfs,7.72
sealfs,15.45
sealfs,7.72
sealfs,15.44
sealfs,15.45
sealfs,7.72
