Summit Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,10314.4
sealfs_video,10314.29
sealfs_video,10314.15
sealfs_video,10314.14
ext4_video,10314.06
ext4_video,10313.97
sealfs_video,10313.95
sealfs_video,10313.92
sealfs_video,10313.75
ext4_video,10313.72
ext4_video,10313.59
ext4_video,10313.49
ext4_video,10313.34
sealfs_video,10313.31
sealfs_video,10313.25
ext4_video,10313.22
ext4_video,10313.09
sealfs_video,10313
ext4_video,10312.9
ext4_video,10312.7
sealfs_video,10312.7
sealfs_video,10312.03
ext4_video,10312.02
ext4_video,10311.96
ext4_video,10311.91
ext4_video,10311.7
sealfs_video,10311.6
ext4_video,10311.46
sealfs_video,10311.41
sealfs_video,10311.26
ext4_video,10311.04
sealfs_video,10310.98
ext4_video,10310.79
sealfs_video,10310.7
sealfs_video,10310.47
ext4_video,10310.37
sealfs_video,10310.34
sealfs_video,10310.31
ext4_video,10310.27
ext4_video,10310.11
sealfs_video,10309.8
ext4_video,10309.78
ext4_video,10309.78
ext4_video,10309.76
ext4_video,10309.55
ext4_video,10309.52
ext4_video,10309.49
ext4_video,10309.36
ext4_video,10309.31
sealfs_video,10309.13
ext4_video,10309.04
sealfs_video,10308.97
ext4_video,10308.65
ext4_video,10308.27
ext4_video,10308.27
ext4_video,10308.19
sealfs_video,10308.03
sealfs_video,10308.01
sealfs_video,10307.98
sealfs_video,10307.68
ext4_video,10307.35
ext4_video,10307.16
ext4_video,10307.14
ext4_video,10307.03
ext4_video,10306.52
ext4_video,10306.5
ext4_video,10305.9
sealfs_video,10305.18
sealfs_video,10305.15
ext4_video,10304.81
sealfs_video,10304.72
sealfs_video,10304.7
ext4_video,10304.63
ext4_video,10304.47
ext4_video,10304.33
ext4_video,10304.27
ext4_video,10304.25
sealfs_video,10304.12
ext4_video,10304.04
sealfs_video,10303.87
ext4_video,10302.83
ext4_video,10302.62
sealfs_video,10302.41
sealfs_video,10302.31
ext4_video,10302.21
ext4_video,10302.21
sealfs_video,10301.9
ext4_video,10301.67
sealfs_video,10301.48
sealfs_video,10301.33
