Summit Bandwidth in Audio Test,bandwidth (kB/s)
ext4,112.05
ext4,119.74
ext4,116
ext4,123.71
ext4,115.94
ext4,116
ext4,119.81
ext4,111.55
ext4,123.69
ext4,119.87
ext4,119.79
ext4,112.04
ext4,119.83
ext4,123.71
ext4,112.1
ext4,119.77
ext4,119.7
ext4,112.07
ext4,123.42
ext4,119.75
ext4,116.03
ext4,115.89
ext4,115.76
ext4,123.64
ext4,115.5
ext4,115.9
ext4,119.88
ext4,119.84
ext4,116.01
ext4,119.83
ext4,119.37
ext4,112.06
ext4,119.92
ext4,127.6
ext4,115.92
ext4,115.56
ext4,119.77
ext4,115.97
ext4,119.94
ext4,115.36
ext4,119.88
ext4,119.68
ext4,112.1
ext4,123.78
ext4,119.63
ext4,112.11
ext4,119.94
ext4,119.8
ext4,116.12
ext4,119.83
ext4,119.31
ext4,119.74
ext4,111.63
ext4,123.63
ext4,115.96
ext4,119.63
ext4,115.98
ext4,115.94
ext4,127.5
ext4,112.13
ext4,119.89
ext4,119.96
ext4,112
ext4,123.73
ext4,119.78
ext4,119.87
ext4,111.74
ext4,119.85
ext4,123.71
ext4,112.05
ext4,119.83
ext4,116.04
ext4,119.25
ext4,119.89
ext4,116
ext4,119.74
ext4,112.12
ext4,119.55
ext4,123.68
ext4,112.23
ext4,119.87
ext4,119.56
ext4,119.83
ext4,119.9
ext4,119.84
ext4,119.86
ext4,112.18
ext4,119.91
ext4,123.79
ext4,112.07
ext4,119.42
ext4,116
ext4,123.32
ext4,115.91
ext4,115.97
ext4,119.76
ext4,111.98
ext4,123.63
ext4,119.77
ext4,119.68
ext4,111.75
ext4,119.84
ext4,123.88
ext4,111.32
ext4,119.71
ext4,119.74
ext4,115.86
ext4,119.81
ext4,115.99
ext4,119.86
ext4,115.98
ext4,115.88
ext4,123.51
ext4,119.71
ext4,112.05
ext4,119.77
ext4,119.95
ext4,115.97
ext4,119.81
ext4,119.87
ext4,112.09
ext4,119.85
ext4,123.74
ext4,112.1
ext4,119.85
ext4,119.86
ext4,116.01
ext4,119.95
ext4,116.06
ext4,116.17
ext4,119.27
ext4,119.1
ext4,115.78
ext4,119.91
ext4,119.84
ext4,119.95
ext4,112.16
ext4,123.72
ext4,119.91
ext4,112.13
ext4,119.85
ext4,119.81
ext4,116.06
ext4,119.89
ext4,115.92
ext4,116.02
ext4,119.9
ext4,119.94
ext4,116
ext4,116.05
ext4,119.85
ext4,119.77
ext4,116.09
ext4,119.82
ext4,119.79
ext4,112.18
ext4,120.02
ext4,123.71
ext4,112.11
ext4,119.87
ext4,119.86
ext4,112.12
ext4,123.82
ext4,119.98
ext4,112.12
ext4,119.88
ext4,115.96
ext4,123.73
ext4,116.01
ext4,115.84
ext4,119.78
ext4,116
ext4,119.94
ext4,119.91
ext4,112.17
ext4,119.96
ext4,119.83
ext4,115.96
ext4,119.84
ext4,119.54
ext4,119.87
ext4,112.15
ext4,122.87
ext4,119.33
ext4,115.96
ext4,116.04
ext4,119.83
ext4,119.79
ext4,116.05
ext4,116.03
ext4,119.95
ext4,116.07
ext4,119.86
ext4,119.48
ext4,119.21
ext4,112.12
ext4,123.82
ext4,119.17
ext4,115.85
ext4,115.94
ext4,119.76
ext4,119.9
ext4,116.01
ext4,119.76
ext4,116.05
ext4,116.12
ext4,119.9
ext4,120.07
ext4,116.06
ext4,116.05
ext4,119.9
ext4,116.08
ext4,119.79
ext4,119.84
ext4,119.76
ext4,111.25
ext4,123.78
