Summit Bandwidth in Audio Test,bandwidth (kB/s)
sealfs,122.9
sealfs,126.9
sealfs,118.97
sealfs,115.54
sealfs,119.93
sealfs,118.65
sealfs,126.36
sealfs,118.73
sealfs,118.77
sealfs,122.6
sealfs,111.14
sealfs,130.24
sealfs,118.82
sealfs,118.84
sealfs,118.84
sealfs,126.37
sealfs,118.84
sealfs,116.01
sealfs,119.8
sealfs,123.66
sealfs,119.77
sealfs,119.51
sealfs,123.67
sealfs,115.99
sealfs,115.3
sealfs,130.95
sealfs,115.97
sealfs,119.83
sealfs,115.95
sealfs,119.13
sealfs,130.67
sealfs,118.81
sealfs,112.04
sealfs,123.66
sealfs,119.08
sealfs,127.52
sealfs,118.95
sealfs,114.99
sealfs,115.39
sealfs,123.12
sealfs,126.9
sealfs,123.03
sealfs,111.57
sealfs,119.24
sealfs,122.94
sealfs,123.4
sealfs,115.68
sealfs,123.65
sealfs,115.69
sealfs,119.77
sealfs,123.65
sealfs,119.84
sealfs,123.17
sealfs,119.86
sealfs,111.41
sealfs,131.33
sealfs,119.83
sealfs,112.07
sealfs,123.68
sealfs,118.84
sealfs,123
sealfs,122.58
sealfs,115.95
sealfs,119.54
sealfs,119.76
sealfs,127.57
sealfs,115.9
sealfs,119.78
sealfs,119.85
sealfs,115.97
sealfs,127.5
sealfs,119.78
sealfs,115.98
sealfs,119.77
sealfs,123.66
sealfs,123.69
sealfs,115.97
sealfs,119.76
sealfs,119.42
sealfs,117.91
sealfs,123.72
sealfs,119.79
sealfs,119.75
sealfs,123.7
sealfs,111.68
sealfs,131.35
sealfs,119.67
sealfs,115.77
sealfs,119.73
sealfs,127.4
sealfs,115.81
sealfs,119.72
sealfs,115.56
sealfs,123.61
sealfs,135.18
sealfs,112.11
sealfs,123.57
sealfs,119.68
sealfs,119.86
sealfs,122.59
sealfs,119.54
sealfs,118.81
sealfs,118.8
sealfs,118.73
sealfs,123.26
sealfs,119.74
sealfs,119.71
sealfs,123.63
sealfs,111.78
sealfs,126.93
sealfs,123.15
sealfs,115.82
sealfs,115.44
sealfs,123.61
sealfs,123.05
sealfs,123.11
sealfs,119.24
sealfs,111.66
sealfs,123.12
sealfs,126.92
sealfs,119.68
sealfs,115.79
sealfs,119.7
sealfs,119.73
sealfs,127.48
sealfs,115.82
sealfs,119.75
sealfs,119.13
sealfs,119.23
sealfs,123.33
sealfs,119.21
sealfs,119.28
sealfs,123.23
sealfs,115.54
sealfs,123.3
sealfs,123.63
sealfs,115.68
sealfs,119.6
sealfs,115.91
sealfs,127.43
sealfs,123.6
sealfs,111.85
sealfs,119.72
sealfs,123.29
sealfs,134.9
sealfs,111.97
sealfs,123.04
sealfs,119.19
sealfs,119.24
sealfs,126.9
sealfs,115.36
sealfs,119.33
sealfs,119.23
