Summit Throughtput on Video Test,Bandwidth (kB/s)
sealfs,10308.01
sealfs,10307.98
sealfs,10307.68
ext4,10307.35
ext4,10307.16
ext4,10307.14
ext4,10307.03
ext4,10306.52
ext4,10306.5
ext4,10305.9
sealfs,10305.18
sealfs,10305.15
ext4,10304.81
sealfs,10304.72
sealfs,10304.7
ext4,10304.63
ext4,10304.47
ext4,10304.33
ext4,10304.27
ext4,10304.25
sealfs,10304.12
ext4,10304.04
sealfs,10303.87
ext4,10302.83
ext4,10302.62
sealfs,10302.41
sealfs,10302.31
ext4,10302.21
ext4,10302.21
sealfs,10301.9
ext4,10301.67
sealfs,10301.48
sealfs,10301.33
ext4,10301.31
ext4,10301.04
ext4,10300.87
ext4,10300.86
sealfs,10300.84
ext4,10300.79
ext4,10300.31
sealfs,10300
sealfs,10299.89
ext4,10299.66
ext4,10299.44
ext4,10299.33
ext4,10299.06
ext4,10298.99
ext4,10298.96
sealfs,10298.94
ext4,10298.25
ext4,10298.25
ext4,10298.09
ext4,10298.08
ext4,10297.3
ext4,10297.15
ext4,10297.08
ext4,10296.94
ext4,10296.81
ext4,10296.78
ext4,10296.69
ext4,10296.31
sealfs,10296.24
ext4,10296.06
ext4,10296.03
ext4,10295.97
sealfs,10295.86
ext4,10295.52
sealfs,10295.4
ext4,10295.23
ext4,10294.96
ext4,10294.96
ext4,10294.67
ext4,10294.63
ext4,10294.57
ext4,10294.53
ext4,10294.47
sealfs,10294.4
ext4,10294.37
ext4,10294.06
ext4,10293.85
sealfs,10293.67
ext4,10293.23
ext4,10293.11
sealfs,10293.11
ext4,10293.02
sealfs,10292.89
ext4,10292.84
sealfs,10292.62
ext4,10292.51
ext4,10292.25
sealfs,10292.1
sealfs,10292.07
ext4,10291.61
ext4,10291.58
ext4,10291.57
ext4,10291.54
ext4,10291.51
ext4,10291.31
sealfs,10291.29
ext4,10291.27
ext4,10291.2
ext4,10290.71
ext4,10290.44
ext4,10290.42
ext4,10290.17
ext4,10289.82
ext4,10289.81
ext4,10289.76
ext4,10289.75
ext4,10289.68
ext4,10289.52
ext4,10289.32
ext4,10289.27
ext4,10289.17
sealfs,10289.12
ext4,10289.04
sealfs,10288.94
sealfs,10288.63
ext4,10288.43
ext4,10288.25
ext4,10287.89
ext4,10287.69
ext4,10287.58
ext4,10287.15
ext4,10287.14
ext4,10287.13
ext4,10286.83
ext4,10286.55
ext4,10286.46
ext4,10286.42
sealfs,10286.25
ext4,10286.09
ext4,10286.05
ext4,10285.92
sealfs,10285.54
ext4,10285.51
ext4,10285.43
ext4,10285.33
ext4,10285.3
ext4,10285.04
ext4,10285.01
ext4,10284.72
ext4,10284.68
ext4,10284.59
ext4,10284.46
ext4,10284.43
ext4,10284.4
ext4,10283.9
ext4,10283.71
ext4,10283.61
ext4,10283.54
ext4,10282.85
ext4,10282.71
sealfs,10282.67
ext4,10282.54
ext4,10282.45
ext4,10282.45
ext4,10282.43
ext4,10282.43
sealfs,10282.31
ext4,10281.91
sealfs,10281.9
ext4,10281.87
ext4,10281.86
ext4,10281.51
ext4,10280.82
ext4,10280.64
ext4,10280.58
ext4,10280.48
ext4,10280.27
sealfs,10280.05
sealfs,10279.99
ext4,10279.6
ext4,10279.05
ext4,10278.99
ext4,10278.92
ext4,10278.87
ext4,10278.76
sealfs,10278.7
ext4,10278.64
ext4,10278.14
ext4,10278.09
sealfs,10278
ext4,10277.86
ext4,10277.8
ext4,10277.75
ext4,10277.73
ext4,10276.93
ext4,10276.74
ext4,10276.13
ext4,10276
ext4,10275.72
ext4,10275.61
ext4,10275.29
ext4,10275.27
sealfs,10275.07
ext4,10274.95
ext4,10274.88
ext4,10274.44
ext4,10274.35
ext4,10274.25
sealfs,10274.13
ext4,10273.79
ext4,10273.66
ext4,10273.34
ext4,10272.89
ext4,10272.63
ext4,10272.47
ext4,10272.37
ext4,10272.34
ext4,10272.08
ext4,10271.77
sealfs,10271.52
ext4,10271.47
ext4,10271.26
ext4,10270.82
ext4,10270.23
ext4,10270.22
ext4,10270.19
ext4,10269.75
ext4,10269.56
ext4,10269.54
ext4,10269.22
ext4,10268.81
ext4,10268.76
ext4,10268.73
ext4,10268.66
ext4,10268.66
ext4,10268.49
ext4,10268.32
sealfs,10268.18
ext4,10268.15
ext4,10267.66
ext4,10267.44
ext4,10267.25
sealfs,10267.21
ext4,10266.69
ext4,10266.68
ext4,10266.59
ext4,10266.53
ext4,10266.43
ext4,10265.23
ext4,10265.14
sealfs,10264.97
ext4,10264.55
ext4,10264.44
ext4,10264.37
ext4,10264.36
ext4,10264.35
ext4,10264.21
ext4,10263.58
ext4,10262.93
ext4,10262.57
ext4,10262.12
ext4,10261.99
ext4,10261.9
ext4,10261.85
ext4,10261.72
sealfs,10261.09
ext4,10260.84
ext4,10260.66
ext4,10260.53
ext4,10260.51
ext4,10260.48
ext4,10260.47
ext4,10260.3
ext4,10260.07
ext4,10260.04
ext4,10259.87
ext4,10258.77
ext4,10258.66
ext4,10258.37
ext4,10258.05
ext4,10257.63
sealfs,10257.5
ext4,10257.44
ext4,10257.44
sealfs,10257.41
ext4,10257.38
ext4,10257.11
ext4,10256.96
ext4,10256.84
ext4,10256.79
ext4,10256.76
ext4,10256.36
ext4,10256.29
sealfs,10255.98
ext4,10255.94
ext4,10255.84
ext4,10255.5
ext4,10255.37
ext4,10255.28
ext4,10255.15
ext4,10255.1
ext4,10255.06
ext4,10255
ext4,10254.98
