Summit Throughtput on Video Test,Bandwidth (kB/s)
ext4,7734.3
ext4,7734.17
ext4,7733.81
ext4,7733.38
ext4,7733.21
sealfs,7732.79
sealfs,7732.3
ext4,7731.91
ext4,7731.77
ext4,7731.46
ext4,7731.05
ext4,7731.04
ext4,7730.77
sealfs,7730.53
ext4,7730.48
ext4,7730.05
sealfs,7729.18
sealfs,7729.16
ext4,7727.19
ext4,7727.14
ext4,7727.08
ext4,7726.06
ext4,7725.47
ext4,7725.03
ext4,7724.81
ext4,7723.46
sealfs,7722.36
ext4,7721.45
ext4,7720.47
ext4,7719.96
ext4,7719.03
ext4,7718.76
ext4,7718.04
ext4,7717.33
sealfs,7717.15
ext4,7716.85
sealfs,7716.33
ext4,7714.68
sealfs,7714.46
ext4,7714.13
ext4,7714.05
sealfs,7714.05
ext4,7713.96
sealfs,7713.87
sealfs,7713.86
sealfs,7713.59
ext4,7713.56
ext4,7712.98
ext4,7712.04
ext4,7711.33
sealfs,7710.84
sealfs,7710.43
ext4,7710.04
sealfs,7709.86
ext4,7709.78
ext4,7709.21
sealfs,7709.04
ext4,7709.02
sealfs,7707.72
ext4,7706.8
ext4,7706.43
ext4,7705.3
sealfs,7704.77
sealfs,7703.69
ext4,7703.16
sealfs,7702.73
ext4,7701.93
sealfs,7701.82
sealfs,7701.52
sealfs,7700.48
ext4,7700.32
sealfs,7699.86
ext4,7698.87
ext4,7698.65
ext4,7698.63
sealfs,7697.5
ext4,7696.41
ext4,7696.35
ext4,7695.18
ext4,7694.09
sealfs,7693.78
sealfs,7693.34
ext4,7692.71
sealfs,7691.4
ext4,7691.26
ext4,7690.99
ext4,7690.85
ext4,7690.35
sealfs,7689.95
ext4,7689.86
ext4,7689.33
ext4,7688.83
ext4,7688.14
ext4,7687.44
ext4,7687.09
sealfs,7685.85
ext4,7683.6
sealfs,7681.57
ext4,7681.01
ext4,7676.12
ext4,7675.96
ext4,7675.35
ext4,7675.16
ext4,7674.38
ext4,7673.49
ext4,7673.05
ext4,7672.31
ext4,7669.69
ext4,7669.48
ext4,7669.46
ext4,7667.51
ext4,7667.37
ext4,7665.51
ext4,7665.39
ext4,7665.08
ext4,7664.19
ext4,7663.04
ext4,7662.15
ext4,7662.15
sealfs,7661.24
ext4,7661.1
sealfs,7659.25
ext4,7659.24
ext4,7659.18
ext4,7658.59
ext4,7657.76
ext4,7656.48
ext4,7656.12
ext4,7655.65
ext4,7655.25
ext4,7655.17
ext4,7653.85
ext4,7650.72
ext4,7649.67
sealfs,7649.43
ext4,7648.45
sealfs,7647.95
ext4,7647.09
ext4,7646.69
ext4,7645.35
ext4,7644.52
ext4,7644.11
ext4,7638.28
ext4,7637.2
ext4,7636.52
sealfs,7634.17
ext4,7634.12
ext4,7633.92
sealfs,7633.2
ext4,7633.18
ext4,7632.51
ext4,7627.74
ext4,7627.32
ext4,7626.28
ext4,7625.84
ext4,7625.25
ext4,7624.41
ext4,7624.29
ext4,7622.81
ext4,7622.35
ext4,7621.42
ext4,7621.36
ext4,7621.17
sealfs,7620.28
ext4,7620.18
ext4,7619.7
ext4,7618.81
ext4,7615.84
ext4,7614.86
sealfs,7613.75
ext4,7611.19
ext4,7609.72
ext4,7608.16
sealfs,7607.2
ext4,7606.62
ext4,7602.46
ext4,7601.41
ext4,7601.06
ext4,7599.18
sealfs,7596.9
sealfs,7596.43
ext4,7596.42
ext4,7595.12
sealfs,7594.92
ext4,7594.88
sealfs,7594.43
sealfs,7594.35
sealfs,7591.94
sealfs,7591.53
ext4,7590.33
sealfs,7589.63
sealfs,7589.34
sealfs,7588.77
sealfs,7588.21
ext4,7587.12
sealfs,7586.79
sealfs,7586.54
ext4,7585.66
sealfs,7585.25
sealfs,7585.05
sealfs,7585
ext4,7584.16
sealfs,7583.78
ext4,7583.62
ext4,7583.48
sealfs,7582.93
sealfs,7582.93
sealfs,7582.7
ext4,7582.66
sealfs,7582.4
sealfs,7582.22
sealfs,7582.2
sealfs,7582.14
sealfs,7581.35
ext4,7580.72
sealfs,7580.64
sealfs,7580.63
sealfs,7580.49
sealfs,7580.09
sealfs,7580.06
sealfs,7580.01
sealfs,7580
sealfs,7579.77
sealfs,7579.3
sealfs,7579.02
sealfs,7577.72
sealfs,7577.57
sealfs,7577.27
ext4,7577.18
sealfs,7576.88
ext4,7576
sealfs,7575.54
sealfs,7575.47
sealfs,7575.2
sealfs,7574.71
sealfs,7573.6
sealfs,7573.55
ext4,7573.4
sealfs,7573.3
sealfs,7573.21
sealfs,7572.72
sealfs,7572.71
sealfs,7572.46
sealfs,7572.36
sealfs,7572.2
sealfs,7572.18
ext4,7571.62
sealfs,7571.32
sealfs,7571.26
ext4,7571.24
sealfs,7570.63
sealfs,7570.56
ext4,7570.35
sealfs,7569.91
sealfs,7569.81
sealfs,7569.72
sealfs,7569.67
sealfs,7569.61
sealfs,7569.51
sealfs,7569.43
sealfs,7569.42
sealfs,7569.22
sealfs,7569
sealfs,7568.93
sealfs,7568.16
sealfs,7568.1
sealfs,7567.99
sealfs,7567.57
sealfs,7567.19
sealfs,7566.38
sealfs,7566.11
sealfs,7565.5
sealfs,7565.33
sealfs,7565.33
sealfs,7564.93
sealfs,7564.05
ext4,7563.23
sealfs,7563.02
sealfs,7562.69
sealfs,7562.51
sealfs,7562
sealfs,7561.8
sealfs,7560.11
sealfs,7559.79
sealfs,7559.38
sealfs,7558.92
sealfs,7558.28
sealfs,7556.28
sealfs,7556
sealfs,7555.84
sealfs,7555.71
sealfs,7555.47
sealfs,7554.55
sealfs,7553.15
sealfs,7552.16
sealfs,7551.28
sealfs,7550.07
sealfs,7546.86
sealfs,7544.65
ext4,7543.31
sealfs,7540.82
sealfs,7539.18
sealfs,7539.11
ext4,7531.88
sealfs,7531.8
sealfs,7531.68
sealfs,7530.56
sealfs,7530.54
sealfs,7522.96
sealfs,7521.85
sealfs,7521.14
sealfs,7518.02
sealfs,7514.25
sealfs,7509.2
ext4,7506.72
sealfs,7499.41
sealfs,7498.32
sealfs,7457.93
sealfs,7453.63
sealfs,7446.09
sealfs,7440.24
sealfs,7405.4
sealfs,7274.77
