Throughput on Video Test,Bandwidth (kB/s)
summit_sealfs,10317.6
summit_ext4,10317.4
summit_sealfs,10317.34
summit_ext4,10316.79
summit_sealfs,10316.74
summit_sealfs,10316.66
summit_sealfs,10316.56
summit_sealfs,10316.43
summit_ext4,10316.25
summit_sealfs,10316.22
summit_ext4,10316.15
summit_ext4,10316.02
summit_sealfs,10315.78
summit_ext4,10315.59
summit_sealfs,10315.22
summit_sealfs,10315.02
summit_sealfs,10314.91
summit_sealfs,10314.71
summit_sealfs,10314.65
summit_sealfs,10314.64
summit_ext4,10314.62
summit_ext4,10314.4
summit_sealfs,10314.29
summit_sealfs,10314.15
summit_sealfs,10314.14
summit_ext4,10314.06
summit_ext4,10313.97
summit_sealfs,10313.95
summit_sealfs,10313.92
summit_sealfs,10313.75
summit_ext4,10313.72
summit_ext4,10313.59
summit_ext4,10313.49
summit_ext4,10313.34
summit_sealfs,10313.31
summit_sealfs,10313.25
summit_ext4,10313.22
summit_ext4,10313.09
summit_sealfs,10313
summit_ext4,10312.9
summit_ext4,10312.7
summit_sealfs,10312.7
summit_sealfs,10312.03
summit_ext4,10312.02
summit_ext4,10311.96
summit_ext4,10311.91
summit_ext4,10311.7
summit_sealfs,10311.6
summit_ext4,10311.46
summit_sealfs,10311.41
summit_sealfs,10311.26
summit_ext4,10311.04
summit_sealfs,10310.98
summit_ext4,10310.79
summit_sealfs,10310.7
summit_sealfs,10310.47
summit_ext4,10310.37
summit_sealfs,10310.34
summit_sealfs,10310.31
summit_ext4,10310.27
summit_ext4,10310.11
summit_sealfs,10309.8
summit_ext4,10309.78
summit_ext4,10309.78
summit_ext4,10309.76
summit_ext4,10309.55
summit_ext4,10309.52
summit_ext4,10309.49
summit_ext4,10309.36
summit_ext4,10309.31
summit_sealfs,10309.13
summit_ext4,10309.04
summit_sealfs,10308.97
summit_ext4,10308.65
summit_ext4,10308.27
summit_ext4,10308.27
summit_ext4,10308.19
summit_sealfs,10308.03
summit_sealfs,10308.01
summit_sealfs,10307.98
summit_sealfs,10307.68
summit_ext4,10307.35
summit_ext4,10307.16
summit_ext4,10307.14
summit_ext4,10307.03
summit_ext4,10306.52
summit_ext4,10306.5
summit_ext4,10305.9
summit_sealfs,10305.18
summit_sealfs,10305.15
summit_ext4,10304.81
summit_sealfs,10304.72
summit_sealfs,10304.7
summit_ext4,10304.63
summit_ext4,10304.47
summit_ext4,10304.33
summit_ext4,10304.27
summit_ext4,10304.25
summit_sealfs,10304.12
summit_ext4,10304.04
summit_sealfs,10303.87
summit_ext4,10302.83
summit_ext4,10302.62
summit_sealfs,10302.41
summit_sealfs,10302.31
summit_ext4,10302.21
summit_ext4,10302.21
summit_sealfs,10301.9
summit_ext4,10301.67
summit_sealfs,10301.48
summit_sealfs,10301.33
summit_ext4,10301.31
summit_ext4,10301.04
summit_ext4,10300.87
summit_ext4,10300.86
summit_sealfs,10300.84
summit_ext4,10300.79
summit_ext4,10300.31
summit_sealfs,10300
summit_sealfs,10299.89
summit_ext4,10299.66
summit_ext4,10299.44
summit_ext4,10299.33
summit_ext4,10299.06
summit_ext4,10298.99
summit_ext4,10298.96
summit_sealfs,10298.94
summit_ext4,10298.25
summit_ext4,10298.25
summit_ext4,10298.09
summit_ext4,10298.08
summit_ext4,10297.3
summit_ext4,10297.15
summit_ext4,10297.08
summit_ext4,10296.94
summit_ext4,10296.81
summit_ext4,10296.78
summit_ext4,10296.69
summit_ext4,10296.31
summit_sealfs,10296.24
summit_ext4,10296.06
summit_ext4,10296.03
summit_ext4,10295.97
summit_sealfs,10295.86
summit_ext4,10295.52
summit_sealfs,10295.4
summit_ext4,10295.23
summit_ext4,10294.96
summit_ext4,10294.96
summit_ext4,10294.67
summit_ext4,10294.63
summit_ext4,10294.57
summit_ext4,10294.53
summit_ext4,10294.47
summit_sealfs,10294.4
summit_ext4,10294.37
summit_ext4,10294.06
summit_ext4,10293.85
summit_sealfs,10293.67
summit_ext4,10293.23
summit_ext4,10293.11
summit_sealfs,10293.11
summit_ext4,10293.02
summit_sealfs,10292.89
summit_ext4,10292.84
summit_sealfs,10292.62
summit_ext4,10292.51
summit_ext4,10292.25
summit_sealfs,10292.1
summit_sealfs,10292.07
summit_ext4,10291.61
summit_ext4,10291.58
summit_ext4,10291.57
summit_ext4,10291.54
summit_ext4,10291.51
summit_ext4,10291.31
summit_sealfs,10291.29
summit_ext4,10291.27
summit_ext4,10291.2
summit_ext4,10290.71
summit_ext4,10290.44
summit_ext4,10290.42
summit_ext4,10290.17
summit_ext4,10289.82
summit_ext4,10289.81
summit_ext4,10289.76
summit_ext4,10289.75
summit_ext4,10289.68
summit_ext4,10289.52
summit_ext4,10289.32
summit_ext4,10289.27
summit_ext4,10289.17
summit_sealfs,10289.12
summit_ext4,10289.04
summit_sealfs,10288.94
summit_sealfs,10288.63
summit_ext4,10288.43
summit_ext4,10288.25
summit_ext4,10287.89
summit_ext4,10287.69
summit_ext4,10287.58
summit_ext4,10287.15
summit_ext4,10287.14
summit_ext4,10287.13
summit_ext4,10286.83
summit_ext4,10286.55
summit_ext4,10286.46
summit_ext4,10286.42
summit_sealfs,10286.25
summit_ext4,10286.09
summit_ext4,10286.05
summit_ext4,10285.92
summit_sealfs,10285.54
summit_ext4,10285.51
summit_ext4,10285.43
summit_ext4,10285.33
summit_ext4,10285.3
summit_ext4,10285.04
summit_ext4,10285.01
summit_ext4,10284.72
summit_ext4,10284.68
summit_ext4,10284.59
summit_ext4,10284.46
summit_ext4,10284.43
summit_ext4,10284.4
summit_ext4,10283.9
summit_ext4,10283.71
summit_ext4,10283.61
summit_ext4,10283.54
summit_ext4,10282.85
summit_ext4,10282.71
summit_sealfs,10282.67
summit_ext4,10282.54
summit_ext4,10282.45
summit_ext4,10282.45
summit_ext4,10282.43
summit_ext4,10282.43
summit_sealfs,10282.31
summit_ext4,10281.91
summit_sealfs,10281.9
summit_ext4,10281.87
summit_ext4,10281.86
summit_ext4,10281.51
summit_ext4,10280.82
summit_ext4,10280.64
summit_ext4,10280.58
summit_ext4,10280.48
summit_ext4,10280.27
summit_sealfs,10280.05
summit_sealfs,10279.99
summit_ext4,10279.6
summit_ext4,10279.05
summit_ext4,10278.99
summit_ext4,10278.92
summit_ext4,10278.87
summit_ext4,10278.76
summit_sealfs,10278.7
summit_ext4,10278.64
summit_ext4,10278.14
summit_ext4,10278.09
summit_sealfs,10278
summit_ext4,10277.86
summit_ext4,10277.8
summit_ext4,10277.75
summit_ext4,10277.73
summit_ext4,10276.93
summit_ext4,10276.74
summit_ext4,10276.13
summit_ext4,10276
summit_ext4,10275.72
summit_ext4,10275.61
summit_ext4,10275.29
summit_ext4,10275.27
summit_sealfs,10275.07
summit_ext4,10274.95
summit_ext4,10274.88
summit_ext4,10274.44
summit_ext4,10274.35
summit_ext4,10274.25
summit_sealfs,10274.13
summit_ext4,10273.79
summit_ext4,10273.66
summit_ext4,10273.34
summit_ext4,10272.89
summit_ext4,10272.63
summit_ext4,10272.47
summit_ext4,10272.37
summit_ext4,10272.34
summit_ext4,10272.08
summit_ext4,10271.77
summit_sealfs,10271.52
summit_ext4,10271.47
summit_ext4,10271.26
summit_ext4,10270.82
summit_ext4,10270.23
summit_ext4,10270.22
summit_ext4,10270.19
summit_ext4,10269.75
summit_ext4,10269.56
summit_ext4,10269.54
summit_ext4,10269.22
summit_ext4,10268.81
summit_ext4,10268.76
summit_ext4,10268.73
summit_ext4,10268.66
summit_ext4,10268.66
summit_ext4,10268.49
summit_ext4,10268.32
summit_sealfs,10268.18
summit_ext4,10268.15
summit_ext4,10267.66
summit_ext4,10267.44
summit_ext4,10267.25
summit_sealfs,10267.21
summit_ext4,10266.69
summit_ext4,10266.68
summit_ext4,10266.59
summit_ext4,10266.53
summit_ext4,10266.43
summit_ext4,10265.23
summit_ext4,10265.14
summit_sealfs,10264.97
summit_ext4,10264.55
summit_ext4,10264.44
summit_ext4,10264.37
summit_ext4,10264.36
summit_ext4,10264.35
summit_ext4,10264.21
summit_ext4,10263.58
summit_ext4,10262.93
summit_ext4,10262.57
summit_ext4,10262.12
summit_ext4,10261.99
summit_ext4,10261.9
summit_ext4,10261.85
summit_ext4,10261.72
summit_sealfs,10261.09
summit_ext4,10260.84
summit_ext4,10260.66
summit_ext4,10260.53
summit_ext4,10260.51
summit_ext4,10260.48
summit_ext4,10260.47
summit_ext4,10260.3
summit_ext4,10260.07
summit_ext4,10260.04
summit_ext4,10259.87
summit_ext4,10258.77
summit_ext4,10258.66
summit_ext4,10258.37
summit_ext4,10258.05
summit_ext4,10257.63
summit_sealfs,10257.5
summit_ext4,10257.44
