Throughput on Navigation Test,bandwidth (kB/s)
tiago_sealfs,7.56
tiago_sealfs,7.59
tiago_sealfs,7.52
tiago_sealfs,7.47
tiago_sealfs,14.87
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.56
tiago_sealfs,7.52
tiago_sealfs,7.54
tiago_sealfs,7.52
tiago_sealfs,7.5
tiago_sealfs,7.39
tiago_sealfs,7.52
tiago_sealfs,7.5
tiago_sealfs,7.48
tiago_sealfs,7.47
tiago_sealfs,15.08
tiago_sealfs,7.53
tiago_sealfs,7.44
tiago_sealfs,7.53
tiago_sealfs,7.54
tiago_sealfs,3.75
tiago_sealfs,7.54
tiago_sealfs,7.51
tiago_sealfs,7.53
tiago_sealfs,7.52
tiago_sealfs,7.54
tiago_sealfs,7.49
tiago_sealfs,7.5
tiago_sealfs,15.05
tiago_sealfs,7.51
tiago_sealfs,7.52
tiago_sealfs,7.52
tiago_sealfs,7.52
tiago_sealfs,7.46
tiago_sealfs,14.62
tiago_sealfs,7.53
tiago_sealfs,7.5
tiago_sealfs,11.27
tiago_sealfs,7.5
tiago_sealfs,7.46
tiago_sealfs,7.54
tiago_sealfs,7.54
tiago_sealfs,7.51
tiago_sealfs,7.5
tiago_sealfs,7.52
tiago_sealfs,7.55
tiago_sealfs,15.07
tiago_sealfs,7.53
tiago_sealfs,7.5
tiago_sealfs,7.48
tiago_sealfs,7.54
tiago_sealfs,7.51
tiago_sealfs,3.76
tiago_sealfs,7.5
tiago_sealfs,7.51
tiago_sealfs,7.52
tiago_sealfs,7.51
tiago_sealfs,7.51
tiago_sealfs,7.55
tiago_sealfs,15.02
tiago_sealfs,7.55
tiago_sealfs,7.52
tiago_sealfs,7.5
tiago_sealfs,7.36
tiago_sealfs,7.54
tiago_sealfs,7.47
tiago_sealfs,7.53
tiago_sealfs,7.44
tiago_sealfs,7.53
tiago_sealfs,7.5
tiago_sealfs,7.34
tiago_sealfs,7.47
tiago_sealfs,7.52
tiago_sealfs,7.53
tiago_sealfs,7.5
tiago_sealfs,7.42
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.5
tiago_sealfs,7.53
tiago_sealfs,15.05
tiago_sealfs,7.54
tiago_sealfs,15.02
tiago_sealfs,7.51
tiago_sealfs,7.47
tiago_sealfs,7.34
tiago_sealfs,7.52
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.49
tiago_sealfs,15
tiago_sealfs,7.52
tiago_sealfs,7.45
tiago_sealfs,15.04
tiago_sealfs,7.46
tiago_sealfs,7.53
tiago_sealfs,7.53
tiago_sealfs,7.42
tiago_sealfs,11.11
tiago_sealfs,7.55
tiago_sealfs,7.54
tiago_sealfs,7.49
tiago_sealfs,7.42
tiago_sealfs,7.53
tiago_sealfs,7.52
tiago_sealfs,7.49
tiago_sealfs,7.52
tiago_sealfs,14.99
tiago_sealfs,7.54
tiago_sealfs,7.52
tiago_sealfs,7.42
tiago_sealfs,7.54
tiago_sealfs,7.52
tiago_sealfs,15.02
tiago_sealfs,7.53
tiago_sealfs,7.5
tiago_sealfs,7.53
tiago_sealfs,7.55
tiago_sealfs,7.52
tiago_sealfs,7.49
tiago_sealfs,7.51
tiago_sealfs,7.51
tiago_sealfs,11.07
tiago_sealfs,7.42
tiago_sealfs,7.52
tiago_sealfs,3.76
tiago_sealfs,14.69
tiago_sealfs,7.47
tiago_sealfs,7.47
tiago_sealfs,7.54
tiago_sealfs,7.44
tiago_sealfs,7.51
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.52
tiago_sealfs,15.03
tiago_sealfs,7.54
tiago_sealfs,7.54
tiago_sealfs,7.53
tiago_sealfs,7.57
tiago_sealfs,7.5
tiago_sealfs,7.5
tiago_sealfs,15.05
tiago_sealfs,7.54
tiago_sealfs,7.41
tiago_sealfs,7.43
tiago_sealfs,7.55
tiago_sealfs,7.53
tiago_sealfs,15.03
tiago_sealfs,7.52
tiago_sealfs,7.49
tiago_sealfs,7.51
tiago_sealfs,7.39
tiago_sealfs,7.55
tiago_sealfs,15.08
tiago_sealfs,7.53
tiago_sealfs,7.52
tiago_sealfs,7.45
tiago_sealfs,7.51
tiago_sealfs,11.3
tiago_sealfs,7.53
tiago_sealfs,7.49
tiago_sealfs,15.07
tiago_sealfs,7.54
tiago_sealfs,7.52
tiago_sealfs,7.29
tiago_sealfs,7.52
tiago_sealfs,15.05
tiago_sealfs,7.54
tiago_sealfs,7.49
tiago_sealfs,7.35
tiago_sealfs,7.5
tiago_sealfs,3.76
tiago_sealfs,7.53
tiago_sealfs,7.55
tiago_sealfs,7.54
tiago_sealfs,7.55
tiago_sealfs,7.5
tiago_sealfs,7.52
tiago_sealfs,7.53
tiago_sealfs,14.8
tiago_sealfs,7.53
tiago_sealfs,7.55
tiago_sealfs,7.52
tiago_sealfs,7.54
tiago_sealfs,7.53
tiago_sealfs,7.39
tiago_sealfs,7.55
tiago_sealfs,7.5
tiago_sealfs,7.55
tiago_sealfs,7.49
tiago_sealfs,7.5
tiago_sealfs,7.43
tiago_sealfs,7.52
tiago_sealfs,15.06
tiago_sealfs,7.42
tiago_sealfs,7.54
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.53
tiago_sealfs,7.49
tiago_sealfs,7.54
tiago_sealfs,3.77
tiago_sealfs,7.52
tiago_sealfs,7.5
tiago_sealfs,7.53
tiago_sealfs,7.54
tiago_sealfs,15.15
tiago_sealfs,15.15
tiago_sealfs,7.32
tiago_sealfs,7.58
tiago_sealfs,7.58
