# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 2) + 46.120 us   |  sealfs_write [sealfs]();
 2) ! 120.903 us  |  sealfs_write [sealfs]();
 2) + 34.341 us   |  sealfs_write [sealfs]();
 2) + 69.923 us   |  sealfs_write [sealfs]();
 2) + 36.820 us   |  sealfs_write [sealfs]();
 2) + 79.924 us   |  sealfs_write [sealfs]();
 2) + 38.281 us   |  sealfs_write [sealfs]();
 2) + 74.621 us   |  sealfs_write [sealfs]();
 2) + 43.126 us   |  sealfs_write [sealfs]();
 2) + 78.332 us   |  sealfs_write [sealfs]();
 2) + 35.658 us   |  sealfs_write [sealfs]();
 2) + 82.738 us   |  sealfs_write [sealfs]();
 5) + 47.493 us   |  sealfs_write [sealfs]();
 5) ! 108.860 us  |  sealfs_write [sealfs]();
 1) + 39.636 us   |  sealfs_write [sealfs]();
 1) + 93.194 us   |  sealfs_write [sealfs]();
 1) + 82.118 us   |  sealfs_write [sealfs]();
 1) + 72.403 us   |  sealfs_write [sealfs]();
 1) + 50.160 us   |  sealfs_write [sealfs]();
 1) + 69.538 us   |  sealfs_write [sealfs]();
 7) + 58.543 us   |  sealfs_write [sealfs]();
 7) ! 188.175 us  |  sealfs_write [sealfs]();
 2) + 52.477 us   |  sealfs_write [sealfs]();
 2) ! 129.233 us  |  sealfs_write [sealfs]();
 2) + 50.906 us   |  sealfs_write [sealfs]();
 2) + 85.390 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 3)  collect-1283  => ros1sea-529272
 ------------------------------------------

 3) + 40.845 us   |  sealfs_write [sealfs]();
 3) + 83.781 us   |  sealfs_write [sealfs]();
 7) + 38.710 us   |  sealfs_write [sealfs]();
 7) + 84.051 us   |  sealfs_write [sealfs]();
 7) + 55.427 us   |  sealfs_write [sealfs]();
 7) ! 126.228 us  |  sealfs_write [sealfs]();
 7)               |  sealfs_write [sealfs]() {
 3) ! 844.479 us  |  } /* sealfs_write [sealfs] */
