# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 5) + 37.489 us   |  sealfs_write [sealfs]();
 5) + 86.842 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 7)  collect-1282  => ros1sea-551314
 ------------------------------------------

 7) + 39.035 us   |  sealfs_write [sealfs]();
 7) + 84.647 us   |  sealfs_write [sealfs]();
 7) + 36.990 us   |  sealfs_write [sealfs]();
 7) + 75.506 us   |  sealfs_write [sealfs]();
 0) + 57.376 us   |  sealfs_write [sealfs]();
 0) ! 130.807 us  |  sealfs_write [sealfs]();
 1) ! 119.475 us  |  sealfs_write [sealfs]();
 1) + 45.971 us   |  sealfs_write [sealfs]();
 1) + 83.917 us   |  sealfs_write [sealfs]();
 0) + 36.215 us   |  sealfs_write [sealfs]();
 0) + 74.616 us   |  sealfs_write [sealfs]();
 0) ! 143.179 us  |  sealfs_write [sealfs]();
 0) + 78.453 us   |  sealfs_write [sealfs]();
 0) + 43.647 us   |  sealfs_write [sealfs]();
 0) + 75.954 us   |  sealfs_write [sealfs]();
 0) + 47.855 us   |  sealfs_write [sealfs]();
 0) + 79.969 us   |  sealfs_write [sealfs]();
 0) + 35.024 us   |  sealfs_write [sealfs]();
 0) + 75.803 us   |  sealfs_write [sealfs]();
 0) + 41.935 us   |  sealfs_write [sealfs]();
 0) + 92.258 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 1) ros1sea-551314 =>  <...>-552351 
 ------------------------------------------

 1)   2.602 us    |  sealfs_show_options [sealfs]();
 1)   0.728 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 2) ros1sea-551314 =>  <...>-552351 
 ------------------------------------------

 2)   1.287 us    |  sealfs_show_options [sealfs]();
 2)   0.647 us    |  sealfs_show_options [sealfs]();
 2)   0.758 us    |  sealfs_show_options [sealfs]();
 2)   0.964 us    |  sealfs_show_options [sealfs]();
 2)   0.721 us    |  sealfs_show_options [sealfs]();
 2)   0.682 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 3) ros1sea-551314 =>  <...>-552351 
 ------------------------------------------

 3)   1.384 us    |  sealfs_show_options [sealfs]();
 3)   0.760 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 6) ros1sea-551314 =>  <...>-552351 
 ------------------------------------------

 6)   1.304 us    |  sealfs_show_options [sealfs]();
 6)   0.534 us    |  sealfs_show_options [sealfs]();
 1)   1.166 us    |  sealfs_show_options [sealfs]();
 1)   0.493 us    |  sealfs_show_options [sealfs]();
 1)   0.908 us    |  sealfs_show_options [sealfs]();
 1)   0.738 us    |  sealfs_show_options [sealfs]();
 1)   0.773 us    |  sealfs_show_options [sealfs]();
 1)   0.552 us    |  sealfs_show_options [sealfs]();
 1)   0.774 us    |  sealfs_show_options [sealfs]();
 1)   0.541 us    |  sealfs_show_options [sealfs]();
 1)   0.726 us    |  sealfs_show_options [sealfs]();
 1)   0.800 us    |  sealfs_show_options [sealfs]();
 1)   0.678 us    |  sealfs_show_options [sealfs]();
 1)   0.559 us    |  sealfs_show_options [sealfs]();
 1)   0.784 us    |  sealfs_show_options [sealfs]();
 1)   0.519 us    |  sealfs_show_options [sealfs]();
 1)   0.635 us    |  sealfs_show_options [sealfs]();
 1)   0.646 us    |  sealfs_show_options [sealfs]();
 1)   0.602 us    |  sealfs_show_options [sealfs]();
 1)   0.543 us    |  sealfs_show_options [sealfs]();
 1)   0.639 us    |  sealfs_show_options [sealfs]();
 1)   0.567 us    |  sealfs_show_options [sealfs]();
 1)   0.770 us    |  sealfs_show_options [sealfs]();
 1)   0.489 us    |  sealfs_show_options [sealfs]();
 1)   1.043 us    |  sealfs_show_options [sealfs]();
 1)   0.604 us    |  sealfs_show_options [sealfs]();
 0) + 40.032 us   |  sealfs_write [sealfs]();
 0) + 88.226 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 2)  <...>-552351  => ros1sea-551314
 ------------------------------------------

 2) + 37.735 us   |  sealfs_write [sealfs]();
 2) + 74.386 us   |  sealfs_write [sealfs]();
 2) + 53.437 us   |  sealfs_write [sealfs]();
 2) + 91.549 us   |  sealfs_write [sealfs]();
 2) + 34.416 us   |  sealfs_write [sealfs]();
 2) + 78.723 us   |  sealfs_write [sealfs]();
 2) + 42.935 us   |  sealfs_write [sealfs]();
 2) + 97.763 us   |  sealfs_write [sealfs]();
 4) + 45.584 us   |  sealfs_write [sealfs]();
 4) + 74.753 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 3)  <...>-552351  => ros1sea-551314
 ------------------------------------------

 3) + 52.800 us   |  sealfs_write [sealfs]();
 3) + 77.701 us   |  sealfs_write [sealfs]();
 4) + 44.540 us   |  sealfs_write [sealfs]();
 4) ! 126.413 us  |  sealfs_write [sealfs]();
 4) + 34.934 us   |  sealfs_write [sealfs]();
 4) + 82.402 us   |  sealfs_write [sealfs]();
 4) + 41.209 us   |  sealfs_write [sealfs]();
 4) + 90.942 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 6)  <...>-552351  => ros1sea-551314
 ------------------------------------------

 6) + 42.371 us   |  sealfs_write [sealfs]();
 6) + 93.389 us   |  sealfs_write [sealfs]();
 0) + 35.510 us   |  sealfs_write [sealfs]();
 0) + 77.386 us   |  sealfs_write [sealfs]();
