TiAGO Latency on Audio Test,time (uS)
sealfs_write,155.19
sealfs_write,155.132
sealfs_write,154.988
sealfs_write,154.968
sealfs_write,154.855
sealfs_write,154.838
sealfs_write,154.837
sealfs_write,154.792
sealfs_write,154.54
sealfs_write,154.504
sealfs_write,154.424
sealfs_write,154.322
sealfs_write,154.245
sealfs_write,154.167
sealfs_write,154.154
sealfs_write,154.11
sealfs_write,154.04
sealfs_write,154.031
sealfs_write,154.025
sealfs_write,153.96
sealfs_write,153.942
sealfs_write,153.931
sealfs_write,153.831
sealfs_write,153.79
sealfs_write,153.78
sealfs_write,153.639
sealfs_write,153.631
sealfs_write,153.547
sealfs_write,153.504
sealfs_write,153.461
sealfs_write,153.458
sealfs_write,153.405
sealfs_write,153.272
sealfs_write,153.036
sealfs_write,153.034
sealfs_write,153.03
sealfs_write,152.975
sealfs_write,152.9
sealfs_write,152.823
sealfs_write,152.775
sealfs_write,152.742
sealfs_write,152.738
sealfs_write,152.731
sealfs_write,152.669
sealfs_write,152.37
sealfs_write,152.281
sealfs_write,152.127
sealfs_write,151.99
sealfs_write,151.969
sealfs_write,151.965
sealfs_write,151.964
sealfs_write,151.896
sealfs_write,151.621
sealfs_write,151.456
sealfs_write,151.436
sealfs_write,151.369
sealfs_write,151.364
sealfs_write,151.177
sealfs_write,151.117
sealfs_write,151.085
sealfs_write,151.067
sealfs_write,150.736
sealfs_write,150.72
sealfs_write,150.708
sealfs_write,150.612
sealfs_write,150.576
sealfs_write,150.54
sealfs_write,150.534
sealfs_write,150.515
sealfs_write,150.417
sealfs_write,150.394
sealfs_write,150.334
sealfs_write,150.243
sealfs_write,150.218
sealfs_write,150.205
sealfs_write,150.184
sealfs_write,150.178
sealfs_write,150.152
sealfs_write,150.127
sealfs_write,150.023
sealfs_write,150.011
sealfs_write,149.924
sealfs_write,149.912
sealfs_write,149.846
sealfs_write,149.829
sealfs_write,149.823
sealfs_write,149.819
sealfs_write,149.708
sealfs_write,149.592
sealfs_write,149.504
sealfs_write,149.384
sealfs_write,149.369
sealfs_write,149.367
sealfs_write,149.333
sealfs_write,149.311
