Latency on Video Test,time (μs)
summit_sealfs_write,17017.52
summit_sealfs_write,17016.79
summit_sealfs_write,17015.04
summit_sealfs_write,17014.95
tiago_sealfs_write,17014.64
summit_sealfs_write,17012.99
summit_sealfs_write,17009.69
summit_sealfs_write,17008.74
summit_sealfs_write,17004.08
summit_sealfs_write,17002.08
summit_sealfs_write,17001.35
summit_sealfs_write,16999.07
summit_sealfs_write,16998.09
summit_sealfs_write,16995.41
summit_sealfs_write,16991.03
summit_sealfs_write,16988.02
summit_sealfs_write,16984.06
summit_sealfs_write,16983.37
tiago_sealfs_write,16978.05
summit_sealfs_write,16977.86
summit_sealfs_write,16958.2
summit_sealfs_write,16951.87
summit_sealfs_write,16951.25
summit_sealfs_write,16947.95
summit_sealfs_write,16932.21
summit_sealfs_write,16928.17
summit_sealfs_write,16920.74
summit_sealfs_write,16916.53
summit_sealfs_write,16911.58
summit_sealfs_write,16893.99
summit_sealfs_write,16892.15
summit_sealfs_write,16891.49
summit_sealfs_write,16887.37
summit_sealfs_write,16886.23
summit_sealfs_write,16881.6
summit_sealfs_write,16879.61
summit_sealfs_write,16876.44
tiago_sealfs_write,16875.9
summit_sealfs_write,16874.66
summit_sealfs_write,16871.56
summit_sealfs_write,16869.71
summit_sealfs_write,16869.26
summit_sealfs_write,16861.77
summit_sealfs_write,16861.48
summit_sealfs_write,16859.12
summit_sealfs_write,16857.1
summit_sealfs_write,16856.57
summit_sealfs_write,16852.55
summit_sealfs_write,16844.73
summit_sealfs_write,16837.64
summit_sealfs_write,16836.82
summit_sealfs_write,16835.39
summit_sealfs_write,16832.36
summit_sealfs_write,16832.34
summit_sealfs_write,16830.74
summit_sealfs_write,16827.14
summit_sealfs_write,16825.83
summit_sealfs_write,16823.57
summit_sealfs_write,16816.43
summit_sealfs_write,16814.4
tiago_sealfs_write,16812.95
summit_sealfs_write,16809.56
summit_sealfs_write,16807.9
summit_sealfs_write,16806.22
summit_sealfs_write,16802.29
summit_sealfs_write,16802.27
summit_sealfs_write,16801.91
summit_sealfs_write,16796.07
summit_sealfs_write,16795.11
summit_sealfs_write,16794.01
summit_sealfs_write,16790.38
summit_sealfs_write,16785.48
summit_sealfs_write,16784.68
summit_sealfs_write,16784.55
summit_sealfs_write,16784.3
summit_sealfs_write,16781.75
tiago_sealfs_write,16779.64
summit_sealfs_write,16777.87
summit_sealfs_write,16777.27
tiago_sealfs_write,16776.41
summit_sealfs_write,16776.37
summit_sealfs_write,16773.99
summit_sealfs_write,16772.57
summit_sealfs_write,16769.03
summit_sealfs_write,16766.36
summit_sealfs_write,16766.25
summit_sealfs_write,16761.95
summit_sealfs_write,16758.14
summit_sealfs_write,16757.96
summit_sealfs_write,16757.58
summit_sealfs_write,16757.2
summit_sealfs_write,16754.48
summit_sealfs_write,16752.99
summit_sealfs_write,16751.5
summit_sealfs_write,16746.35
summit_sealfs_write,16745.29
summit_sealfs_write,16744.21
summit_sealfs_write,16743.71
summit_sealfs_write,16741.87
tiago_ext4_write,16741.16
summit_sealfs_write,16740.08
summit_sealfs_write,16738.46
summit_sealfs_write,16738.33
summit_sealfs_write,16737.97
summit_sealfs_write,16737.38
summit_sealfs_write,16728.7
summit_sealfs_write,16728.46
summit_sealfs_write,16727.68
summit_sealfs_write,16720.98
summit_sealfs_write,16717.98
summit_sealfs_write,16717.12
summit_sealfs_write,16716.18
tiago_sealfs_write,16715.32
summit_sealfs_write,16713.32
summit_sealfs_write,16711.26
summit_sealfs_write,16710.47
summit_sealfs_write,16708.88
summit_sealfs_write,16708.18
summit_sealfs_write,16707.48
summit_sealfs_write,16706.78
summit_sealfs_write,16702.34
summit_sealfs_write,16700.15
summit_sealfs_write,16696.03
summit_sealfs_write,16691.81
summit_sealfs_write,16688.46
summit_sealfs_write,16684.97
summit_sealfs_write,16684.93
summit_sealfs_write,16684.66
summit_sealfs_write,16683.56
summit_sealfs_write,16683.06
summit_sealfs_write,16681.86
summit_sealfs_write,16674.18
summit_sealfs_write,16671.79
summit_sealfs_write,16670.28
summit_sealfs_write,16669.91
summit_sealfs_write,16665.66
summit_sealfs_write,16665.47
summit_sealfs_write,16664.67
summit_sealfs_write,16663.36
summit_sealfs_write,16662.09
summit_sealfs_write,16660.03
summit_sealfs_write,16659.97
tiago_sealfs_write,16658.83
summit_sealfs_write,16656.46
summit_sealfs_write,16656.15
summit_sealfs_write,16654.17
summit_sealfs_write,16653.55
summit_sealfs_write,16651.94
summit_sealfs_write,16649.17
tiago_sealfs_write,16648.29
summit_sealfs_write,16648.23
summit_sealfs_write,16644
summit_sealfs_write,16643.07
summit_sealfs_write,16642.49
summit_sealfs_write,16642.24
summit_sealfs_write,16637.54
summit_sealfs_write,16637.2
summit_sealfs_write,16637.17
summit_sealfs_write,16631.7
summit_sealfs_write,16631.64
summit_sealfs_write,16630.2
summit_sealfs_write,16629.87
summit_sealfs_write,16629.5
summit_sealfs_write,16627.29
summit_sealfs_write,16626.81
summit_sealfs_write,16626.77
summit_sealfs_write,16625.51
summit_sealfs_write,16621
summit_sealfs_write,16620.14
summit_sealfs_write,16619.92
summit_sealfs_write,16619.2
summit_sealfs_write,16613.51
summit_sealfs_write,16612.87
summit_sealfs_write,16612.06
summit_sealfs_write,16610.77
summit_sealfs_write,16606.55
summit_sealfs_write,16605.26
summit_sealfs_write,16600.72
summit_sealfs_write,16600.64
tiago_sealfs_write,16600.32
summit_sealfs_write,16597.53
summit_sealfs_write,16595.25
summit_sealfs_write,16593.17
summit_sealfs_write,16590.11
summit_sealfs_write,16589.51
summit_sealfs_write,16587.81
summit_sealfs_write,16587.56
summit_sealfs_write,16585.29
summit_sealfs_write,16583.14
summit_sealfs_write,16581.81
summit_sealfs_write,16579.93
summit_sealfs_write,16579.32
summit_sealfs_write,16577.52
summit_sealfs_write,16575.55
summit_sealfs_write,16574.76
summit_sealfs_write,16573.21
summit_sealfs_write,16572.65
summit_sealfs_write,16572.11
summit_sealfs_write,16571.54
summit_sealfs_write,16570.36
summit_sealfs_write,16567.92
summit_sealfs_write,16561.16
summit_sealfs_write,16560.97
summit_sealfs_write,16556.85
summit_sealfs_write,16556.1
summit_sealfs_write,16553.6
summit_sealfs_write,16551.5
summit_sealfs_write,16549.64
summit_sealfs_write,16544.8
summit_sealfs_write,16544.18
summit_sealfs_write,16543.07
summit_sealfs_write,16540.93
summit_sealfs_write,16539.32
summit_sealfs_write,16538.35
summit_sealfs_write,16536.69
