Latency on Navigation Test,time (μs)
summit_sealfs_write,94.452
tiago_sealfs_write,94.359
summit_sealfs_write,94.356
summit_sealfs_write,94.353
summit_sealfs_write,94.353
tiago_sealfs_write,94.261
summit_sealfs_write,94.208
summit_sealfs_write,94.204
summit_sealfs_write,93.974
summit_sealfs_write,93.937
summit_sealfs_write,93.894
summit_sealfs_write,93.688
summit_sealfs_write,93.657
summit_sealfs_write,93.639
summit_sealfs_write,93.366
summit_sealfs_write,93.348
summit_sealfs_write,93.31
summit_sealfs_write,93.243
tiago_sealfs_write,93.237
summit_sealfs_write,93.211
summit_sealfs_write,93.168
summit_sealfs_write,93.165
tiago_sealfs_write,93.143
summit_sealfs_write,93.109
summit_sealfs_write,93.029
summit_sealfs_write,93.026
summit_sealfs_write,93.013
summit_sealfs_write,92.86
summit_sealfs_write,92.799
tiago_sealfs_write,92.774
summit_sealfs_write,92.717
summit_sealfs_write,92.462
summit_sealfs_write,92.397
summit_sealfs_write,92.36
summit_sealfs_write,92.271
summit_sealfs_write,92.255
tiago_sealfs_write,92.235
tiago_sealfs_write,92.2
summit_sealfs_write,92.096
summit_sealfs_write,92.086
tiago_sealfs_write,92.051
summit_sealfs_write,91.9
summit_sealfs_write,91.85
summit_sealfs_write,91.783
summit_sealfs_write,91.743
summit_sealfs_write,91.721
tiago_sealfs_write,91.708
summit_sealfs_write,91.659
summit_sealfs_write,91.534
summit_sealfs_write,91.501
summit_sealfs_write,91.474
summit_sealfs_write,91.437
summit_sealfs_write,91.417
summit_sealfs_write,91.32
summit_sealfs_write,91.211
summit_sealfs_write,91.187
tiago_sealfs_write,91.167
tiago_sealfs_write,91.06
summit_sealfs_write,91.019
summit_sealfs_write,90.943
summit_sealfs_write,90.917
summit_sealfs_write,90.895
summit_sealfs_write,90.788
tiago_sealfs_write,90.778
summit_sealfs_write,90.685
summit_sealfs_write,90.679
summit_sealfs_write,90.641
tiago_sealfs_write,90.632
summit_sealfs_write,90.602
summit_sealfs_write,90.491
tiago_sealfs_write,90.483
summit_sealfs_write,90.448
tiago_sealfs_write,90.409
summit_sealfs_write,90.345
summit_sealfs_write,90.259
summit_sealfs_write,90.23
summit_sealfs_write,90.099
summit_sealfs_write,90.039
summit_sealfs_write,90.028
tiago_sealfs_write,90.023
summit_sealfs_write,90.017
summit_sealfs_write,89.987
summit_sealfs_write,89.94
summit_sealfs_write,89.879
summit_sealfs_write,89.872
summit_sealfs_write,89.822
summit_sealfs_write,89.814
summit_sealfs_write,89.703
summit_sealfs_write,89.659
summit_sealfs_write,89.638
summit_sealfs_write,89.589
