Latency on Navigation Test,time (μs)
tiago_ext4_write,12.925
tiago_ext4_write,12.911
tiago_ext4_write,12.905
tiago_ext4_write,12.856
tiago_ext4_write,12.837
tiago_ext4_write,12.835
tiago_ext4_write,12.802
tiago_ext4_write,12.716
tiago_ext4_write,12.676
tiago_ext4_write,12.582
tiago_ext4_write,12.562
tiago_ext4_write,12.527
tiago_ext4_write,12.483
tiago_ext4_write,12.476
tiago_ext4_write,12.397
tiago_ext4_write,12.351
tiago_ext4_write,12.347
tiago_ext4_write,12.336
tiago_ext4_write,12.325
tiago_ext4_write,12.322
tiago_ext4_write,12.277
tiago_ext4_write,12.216
tiago_ext4_write,12.214
tiago_ext4_write,12.204
tiago_ext4_write,12.139
tiago_ext4_write,12.128
tiago_ext4_write,12.106
tiago_ext4_write,12.086
tiago_ext4_write,11.999
tiago_ext4_write,11.99
tiago_ext4_write,11.985
tiago_ext4_write,11.98
tiago_ext4_write,11.956
tiago_ext4_write,11.945
tiago_ext4_write,11.937
tiago_ext4_write,11.887
tiago_ext4_write,11.873
tiago_ext4_write,11.849
tiago_ext4_write,11.847
tiago_ext4_write,11.802
tiago_ext4_write,11.798
tiago_ext4_write,11.767
tiago_ext4_write,11.745
tiago_ext4_write,11.739
tiago_ext4_write,11.702
tiago_ext4_write,11.651
tiago_ext4_write,11.634
tiago_ext4_write,11.62
tiago_ext4_write,11.572
tiago_ext4_write,11.562
tiago_ext4_write,11.539
tiago_ext4_write,11.538
tiago_ext4_write,11.367
tiago_ext4_write,11.352
tiago_ext4_write,11.325
tiago_ext4_write,11.299
tiago_ext4_write,11.284
tiago_ext4_write,11.274
tiago_ext4_write,11.212
tiago_ext4_write,11.209
tiago_ext4_write,11.204
tiago_ext4_write,11.113
tiago_ext4_write,11.103
tiago_ext4_write,11.079
tiago_ext4_write,11.068
tiago_ext4_write,11.064
tiago_ext4_write,11.063
tiago_ext4_write,11.05
tiago_ext4_write,11.016
tiago_ext4_write,10.991
tiago_ext4_write,10.99
tiago_ext4_write,10.984
tiago_ext4_write,10.972
tiago_ext4_write,10.963
tiago_ext4_write,10.908
tiago_ext4_write,10.877
tiago_ext4_write,10.875
tiago_ext4_write,10.841
tiago_ext4_write,10.831
tiago_ext4_write,10.671
tiago_ext4_write,10.664
tiago_ext4_write,10.62
tiago_ext4_write,10.607
tiago_ext4_write,10.593
tiago_ext4_write,10.575
tiago_ext4_write,10.569
tiago_ext4_write,10.558
tiago_ext4_write,10.55
tiago_ext4_write,10.543
tiago_ext4_write,10.512
tiago_ext4_write,10.511
tiago_ext4_write,10.452
tiago_ext4_write,10.37
tiago_ext4_write,10.339
tiago_ext4_write,10.315
tiago_ext4_write,10.297
tiago_ext4_write,10.144
tiago_ext4_write,10.104
tiago_ext4_write,10.071
tiago_ext4_write,10.042
tiago_ext4_write,9.981
tiago_ext4_write,9.934
tiago_ext4_write,9.896
tiago_ext4_write,9.474
tiago_ext4_write,9.457
tiago_ext4_write,9.339
tiago_ext4_write,9.321
tiago_ext4_write,9.306
tiago_ext4_write,8.943
tiago_ext4_write,8.814
tiago_ext4_write,8.627
tiago_ext4_write,8.527
tiago_ext4_write,8.101
tiago_ext4_write,7.993
tiago_ext4_write,7.792
tiago_ext4_write,7.765
tiago_ext4_write,7.707
tiago_ext4_write,7.657
tiago_ext4_write,7.651
tiago_ext4_write,7.58
tiago_ext4_write,7.559
tiago_ext4_write,7.425
tiago_ext4_write,7.423
tiago_ext4_write,7.4
tiago_ext4_write,7.386
tiago_ext4_write,7.303
tiago_ext4_write,7.221
tiago_ext4_write,7.212
tiago_ext4_write,7.204
tiago_ext4_write,7.173
tiago_ext4_write,7.137
tiago_ext4_write,7.023
tiago_ext4_write,6.995
tiago_ext4_write,6.943
tiago_ext4_write,6.873
tiago_ext4_write,6.847
tiago_ext4_write,6.832
tiago_ext4_write,6.802
tiago_ext4_write,6.798
tiago_ext4_write,6.795
tiago_ext4_write,6.733
tiago_ext4_write,6.719
tiago_ext4_write,6.619
tiago_ext4_write,6.562
tiago_ext4_write,6.52
tiago_ext4_write,6.516
tiago_ext4_write,6.514
tiago_ext4_write,6.475
tiago_ext4_write,6.203
tiago_ext4_write,6.197
tiago_ext4_write,6.193
tiago_ext4_write,6.171
tiago_ext4_write,6.143
tiago_ext4_write,6.137
tiago_ext4_write,6.048
tiago_ext4_write,5.977
tiago_ext4_write,5.831
tiago_ext4_write,5.824
tiago_ext4_write,5.802
tiago_ext4_write,5.753
tiago_ext4_write,5.737
tiago_ext4_write,5.731
tiago_ext4_write,5.398
tiago_ext4_write,5.362
tiago_ext4_write,5.216
tiago_ext4_write,5.097
tiago_ext4_write,5.076
tiago_ext4_write,4.574
tiago_ext4_write,3.977
tiago_ext4_write,3.468
tiago_ext4_write,3.46
tiago_ext4_write,3.45
tiago_ext4_write,3.365
tiago_ext4_write,3.241
tiago_ext4_write,3.171
tiago_ext4_write,3.048
tiago_ext4_write,3.041
tiago_ext4_write,3.035
tiago_ext4_write,3.006
tiago_ext4_write,3.004
tiago_ext4_write,3.003
tiago_ext4_write,2.999
tiago_ext4_write,2.976
tiago_ext4_write,2.962
tiago_ext4_write,2.95
tiago_ext4_write,2.945
tiago_ext4_write,2.94
tiago_ext4_write,2.94
tiago_ext4_write,2.905
tiago_ext4_write,2.888
tiago_ext4_write,2.875
tiago_ext4_write,2.857
tiago_ext4_write,2.834
tiago_ext4_write,2.83
tiago_ext4_write,2.829
tiago_ext4_write,2.825
tiago_ext4_write,2.823
tiago_ext4_write,2.803
tiago_ext4_write,2.8
tiago_ext4_write,2.753
tiago_ext4_write,2.749
tiago_ext4_write,2.74
tiago_ext4_write,2.737
tiago_ext4_write,2.729
tiago_ext4_write,2.706
tiago_ext4_write,2.697
tiago_ext4_write,2.694
tiago_ext4_write,2.675
tiago_ext4_write,2.635
tiago_ext4_write,2.631
tiago_ext4_write,2.629
tiago_ext4_write,2.615
tiago_ext4_write,2.605
tiago_ext4_write,2.591
tiago_ext4_write,2.574
tiago_ext4_write,2.57
tiago_ext4_write,2.541
tiago_ext4_write,2.533
tiago_ext4_write,2.528
tiago_ext4_write,2.447
tiago_ext4_write,2.359
tiago_ext4_write,2.357
tiago_ext4_write,2.338
tiago_ext4_write,2.287
tiago_ext4_write,2.202
tiago_ext4_write,2.181
tiago_ext4_write,2.177
tiago_ext4_write,2.165
tiago_ext4_write,2.164
tiago_ext4_write,2.141
tiago_ext4_write,2.127
tiago_ext4_write,2.125
tiago_ext4_write,2.12
tiago_ext4_write,2.105
tiago_ext4_write,2.104
tiago_ext4_write,2.082
tiago_ext4_write,2.075
tiago_ext4_write,2.067
tiago_ext4_write,2.065
tiago_ext4_write,2.055
tiago_ext4_write,2.04
tiago_ext4_write,2.034
tiago_ext4_write,2.032
tiago_ext4_write,2.03
tiago_ext4_write,2.014
tiago_ext4_write,2.006
tiago_ext4_write,2.002
tiago_ext4_write,1.999
tiago_ext4_write,1.998
tiago_ext4_write,1.976
tiago_ext4_write,1.965
tiago_ext4_write,1.959
tiago_ext4_write,1.382
tiago_ext4_write,1.305
tiago_ext4_write,1.126
tiago_ext4_write,1.02
