# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 12) * 15231.08 us |  sealfs_write [sealfs]();
 12) * 15369.70 us |  sealfs_write [sealfs]();
 12) * 15356.97 us |  sealfs_write [sealfs]();
 12) * 15420.14 us |  sealfs_write [sealfs]();
 12) * 17056.45 us |  sealfs_write [sealfs]();
 12) * 15333.56 us |  sealfs_write [sealfs]();
 12) * 15264.44 us |  sealfs_write [sealfs]();
 12) * 15345.75 us |  sealfs_write [sealfs]();
  4) * 15317.04 us |  sealfs_write [sealfs]();
  4) * 15320.56 us |  sealfs_write [sealfs]();
  4) * 15247.00 us |  sealfs_write [sealfs]();
  4) * 15285.05 us |  sealfs_write [sealfs]();
  4) * 15215.16 us |  sealfs_write [sealfs]();
 12) * 15321.01 us |  sealfs_write [sealfs]();
 12) * 15358.83 us |  sealfs_write [sealfs]();
  4) * 15319.23 us |  sealfs_write [sealfs]();
  4) * 15348.31 us |  sealfs_write [sealfs]();
  4) * 15475.93 us |  sealfs_write [sealfs]();
  4) * 15381.33 us |  sealfs_write [sealfs]();
  4) * 15469.21 us |  sealfs_write [sealfs]();
  4) * 15352.73 us |  sealfs_write [sealfs]();
  4) * 15496.61 us |  sealfs_write [sealfs]();
  4) * 15303.72 us |  sealfs_write [sealfs]();
  4) * 15434.04 us |  sealfs_write [sealfs]();
  4) * 15853.67 us |  sealfs_write [sealfs]();
  4) * 15425.30 us |  sealfs_write [sealfs]();
  4) * 15306.79 us |  sealfs_write [sealfs]();
  4) * 15506.53 us |  sealfs_write [sealfs]();
  4) * 15299.28 us |  sealfs_write [sealfs]();
 12) * 15354.84 us |  sealfs_write [sealfs]();
 12) * 15262.85 us |  sealfs_write [sealfs]();
 12) * 15306.72 us |  sealfs_write [sealfs]();
  4) * 15253.27 us |  sealfs_write [sealfs]();
  4) * 15356.26 us |  sealfs_write [sealfs]();
 12) * 15345.82 us |  sealfs_write [sealfs]();
 12) * 15335.23 us |  sealfs_write [sealfs]();
 12) * 15533.89 us |  sealfs_write [sealfs]();
  4) * 15347.16 us |  sealfs_write [sealfs]();
 12) * 15509.56 us |  sealfs_write [sealfs]();
  4) * 15306.14 us |  sealfs_write [sealfs]();
 12) * 15367.42 us |  sealfs_write [sealfs]();
