# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  8) + 72.850 us   |  sealfs_write [sealfs]();
  8) + 66.103 us   |  sealfs_write [sealfs]();
  8) + 72.531 us   |  sealfs_write [sealfs]();
  8) + 71.589 us   |  sealfs_write [sealfs]();
  8) + 76.930 us   |  sealfs_write [sealfs]();
  8) + 83.407 us   |  sealfs_write [sealfs]();
  8) + 71.073 us   |  sealfs_write [sealfs]();
  8) + 78.324 us   |  sealfs_write [sealfs]();
  8) + 78.298 us   |  sealfs_write [sealfs]();
  8) + 64.639 us   |  sealfs_write [sealfs]();
  8) + 67.659 us   |  sealfs_write [sealfs]();
  8) + 64.752 us   |  sealfs_write [sealfs]();
  8) + 79.759 us   |  sealfs_write [sealfs]();
  8) + 66.533 us   |  sealfs_write [sealfs]();
  8) + 66.159 us   |  sealfs_write [sealfs]();
  8) + 67.795 us   |  sealfs_write [sealfs]();
  8) + 77.921 us   |  sealfs_write [sealfs]();
  8) + 76.683 us   |  sealfs_write [sealfs]();
  8) + 68.192 us   |  sealfs_write [sealfs]();
  8) + 67.859 us   |  sealfs_write [sealfs]();
  8) + 75.887 us   |  sealfs_write [sealfs]();
  8) + 67.487 us   |  sealfs_write [sealfs]();
  8) + 72.335 us   |  sealfs_write [sealfs]();
  8) + 67.975 us   |  sealfs_write [sealfs]();
  8) + 78.219 us   |  sealfs_write [sealfs]();
  8) ! 105.999 us  |  sealfs_write [sealfs]();
  8) + 69.457 us   |  sealfs_write [sealfs]();
  8) + 69.083 us   |  sealfs_write [sealfs]();
  8) + 75.407 us   |  sealfs_write [sealfs]();
  8) + 66.345 us   |  sealfs_write [sealfs]();
  8) + 76.015 us   |  sealfs_write [sealfs]();
  8) + 65.223 us   |  sealfs_write [sealfs]();
 12) + 72.654 us   |  sealfs_write [sealfs]();
 12) + 66.386 us   |  sealfs_write [sealfs]();
 12) + 70.724 us   |  sealfs_write [sealfs]();
 12) + 79.796 us   |  sealfs_write [sealfs]();
 12) + 72.551 us   |  sealfs_write [sealfs]();
 12) + 67.809 us   |  sealfs_write [sealfs]();
 12) + 78.637 us   |  sealfs_write [sealfs]();
 12) + 69.122 us   |  sealfs_write [sealfs]();
 12) + 73.949 us   |  sealfs_write [sealfs]();
 12) + 65.636 us   |  sealfs_write [sealfs]();
 12) + 68.680 us   |  sealfs_write [sealfs]();
 12) + 65.934 us   |  sealfs_write [sealfs]();
