# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 3) + 33.586 us   |  sealfs_write [sealfs]();
 3) + 83.489 us   |  sealfs_write [sealfs]();
 3) + 57.402 us   |  sealfs_write [sealfs]();
 3) + 81.721 us   |  sealfs_write [sealfs]();
 5) + 40.277 us   |  sealfs_write [sealfs]();
 5) + 81.379 us   |  sealfs_write [sealfs]();
 5) + 35.628 us   |  sealfs_write [sealfs]();
 5) + 73.902 us   |  sealfs_write [sealfs]();
 6) + 54.663 us   |  sealfs_write [sealfs]();
 6) + 73.799 us   |  sealfs_write [sealfs]();
 1) + 34.014 us   |  sealfs_write [sealfs]();
 1) + 82.576 us   |  sealfs_write [sealfs]();
 7) + 36.937 us   |  sealfs_write [sealfs]();
 7) + 74.992 us   |  sealfs_write [sealfs]();
 7) + 48.693 us   |  sealfs_write [sealfs]();
 7) ! 107.391 us  |  sealfs_write [sealfs]();
 7) + 45.512 us   |  sealfs_write [sealfs]();
 7) ! 126.484 us  |  sealfs_write [sealfs]();
 0) + 39.191 us   |  sealfs_write [sealfs]();
 0) + 80.119 us   |  sealfs_write [sealfs]();
 2) + 58.818 us   |  sealfs_write [sealfs]();
 2) ! 108.431 us  |  sealfs_write [sealfs]();
 2) + 32.054 us   |  sealfs_write [sealfs]();
 2) + 78.990 us   |  sealfs_write [sealfs]();
 7) + 35.544 us   |  sealfs_write [sealfs]();
 7) + 70.882 us   |  sealfs_write [sealfs]();
 7) + 44.584 us   |  sealfs_write [sealfs]();
 7) + 81.252 us   |  sealfs_write [sealfs]();
 7) + 35.170 us   |  sealfs_write [sealfs]();
 7) + 75.117 us   |  sealfs_write [sealfs]();
 7) + 35.304 us   |  sealfs_write [sealfs]();
 7) + 74.265 us   |  sealfs_write [sealfs]();
 7) + 43.319 us   |  sealfs_write [sealfs]();
 7) ! 131.515 us  |  sealfs_write [sealfs]();
 7) + 39.047 us   |  sealfs_write [sealfs]();
 7) + 74.584 us   |  sealfs_write [sealfs]();
 7) + 34.274 us   |  sealfs_write [sealfs]();
 7) + 73.120 us   |  sealfs_write [sealfs]();
 7) + 38.193 us   |  sealfs_write [sealfs]();
 7) + 81.621 us   |  sealfs_write [sealfs]();
 7) + 38.200 us   |  sealfs_write [sealfs]();
 7) ! 101.333 us  |  sealfs_write [sealfs]();
 7) + 33.551 us   |  sealfs_write [sealfs]();
 7) + 85.530 us   |  sealfs_write [sealfs]();
 7) + 42.304 us   |  sealfs_write [sealfs]();
 7) + 76.471 us   |  sealfs_write [sealfs]();
 7) + 34.945 us   |  sealfs_write [sealfs]();
 7) + 82.570 us   |  sealfs_write [sealfs]();
 7) ! 771.105 us  |  sealfs_write [sealfs]();
 7) + 82.086 us   |  sealfs_write [sealfs]();
 7) + 38.708 us   |  sealfs_write [sealfs]();
 7) + 86.495 us   |  sealfs_write [sealfs]();
 6) + 36.786 us   |  sealfs_write [sealfs]();
 6) + 80.483 us   |  sealfs_write [sealfs]();
 6) + 44.986 us   |  sealfs_write [sealfs]();
 6) + 75.823 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 2) ros1sea-483494 =>  <...>-484458 
 ------------------------------------------

 2)   2.822 us    |  sealfs_show_options [sealfs]();
 2)   0.958 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 4)  collect-1282  =>  <...>-484458 
 ------------------------------------------

 4)   7.703 us    |  sealfs_show_options [sealfs]();
 4)   0.475 us    |  sealfs_show_options [sealfs]();
 4)   0.575 us    |  sealfs_show_options [sealfs]();
 4)   0.409 us    |  sealfs_show_options [sealfs]();
 4)   0.843 us    |  sealfs_show_options [sealfs]();
 4)   0.958 us    |  sealfs_show_options [sealfs]();
 4)   0.667 us    |  sealfs_show_options [sealfs]();
 4)   0.573 us    |  sealfs_show_options [sealfs]();
 4)   0.587 us    |  sealfs_show_options [sealfs]();
 4)   0.420 us    |  sealfs_show_options [sealfs]();
 4)   0.567 us    |  sealfs_show_options [sealfs]();
 4)   0.446 us    |  sealfs_show_options [sealfs]();
 4)   0.733 us    |  sealfs_show_options [sealfs]();
 4)   0.420 us    |  sealfs_show_options [sealfs]();
 4)   0.569 us    |  sealfs_show_options [sealfs]();
 4)   0.436 us    |  sealfs_show_options [sealfs]();
 4)   0.485 us    |  sealfs_show_options [sealfs]();
 4)   0.615 us    |  sealfs_show_options [sealfs]();
 4)   0.539 us    |  sealfs_show_options [sealfs]();
 4)   0.542 us    |  sealfs_show_options [sealfs]();
 4)   0.664 us    |  sealfs_show_options [sealfs]();
 4)   0.501 us    |  sealfs_show_options [sealfs]();
 4)   0.664 us    |  sealfs_show_options [sealfs]();
 4)   0.470 us    |  sealfs_show_options [sealfs]();
 4)   0.568 us    |  sealfs_show_options [sealfs]();
 4)   0.441 us    |  sealfs_show_options [sealfs]();
 4)   0.570 us    |  sealfs_show_options [sealfs]();
 4)   0.444 us    |  sealfs_show_options [sealfs]();
 4)   0.697 us    |  sealfs_show_options [sealfs]();
 4)   0.523 us    |  sealfs_show_options [sealfs]();
 4)   0.526 us    |  sealfs_show_options [sealfs]();
 4)   0.407 us    |  sealfs_show_options [sealfs]();
 4)   0.649 us    |  sealfs_show_options [sealfs]();
 4)   0.459 us    |  sealfs_show_options [sealfs]();
 6) + 44.579 us   |  sealfs_write [sealfs]();
 6) + 75.125 us   |  sealfs_write [sealfs]();
