# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 7) * 12065.98 us |  sealfs_write [sealfs]();
 7) * 10910.39 us |  sealfs_write [sealfs]();
 7) * 11324.69 us |  sealfs_write [sealfs]();
 7) * 10624.44 us |  sealfs_write [sealfs]();
 7) * 11154.14 us |  sealfs_write [sealfs]();
 7) * 17252.40 us |  sealfs_write [sealfs]();
 7) * 11479.34 us |  sealfs_write [sealfs]();
 3) * 11385.06 us |  sealfs_write [sealfs]();
 3)               |  sealfs_write [sealfs]() {
 7) * 11275.39 us |  } /* sealfs_write [sealfs] */
 7) * 11007.81 us |  sealfs_write [sealfs]();
 7) * 10967.05 us |  sealfs_write [sealfs]();
 7) * 11754.87 us |  sealfs_write [sealfs]();
 3) * 17216.98 us |  sealfs_write [sealfs]();
 3) * 10953.75 us |  sealfs_write [sealfs]();
 3) * 10719.69 us |  sealfs_write [sealfs]();
 3) * 11586.97 us |  sealfs_write [sealfs]();
 4)   4.150 us    |  sealfs_show_options [sealfs]();
 4)   2.999 us    |  sealfs_statfs [sealfs]();
 3) * 11238.90 us |  sealfs_write [sealfs]();
 3) * 10857.29 us |  sealfs_write [sealfs]();
 3) * 10945.64 us |  sealfs_write [sealfs]();
 7) * 10564.37 us |  sealfs_write [sealfs]();
 7) * 11317.30 us |  sealfs_write [sealfs]();
 7) * 10880.19 us |  sealfs_write [sealfs]();
 7) * 45527.00 us |  sealfs_write [sealfs]();
 7) * 11264.12 us |  sealfs_write [sealfs]();
 ------------------------------------------
 6)  <...>-364024  => (openvp-364518
 ------------------------------------------

 6)   2.904 us    |  sealfs_show_options [sealfs]();
 6)   1.586 us    |  sealfs_show_options [sealfs]();
 1)   1.639 us    |  sealfs_show_options [sealfs]();
 1)   0.681 us    |  sealfs_show_options [sealfs]();
 1)   0.689 us    |  sealfs_show_options [sealfs]();
 1)   0.551 us    |  sealfs_show_options [sealfs]();
 1)   0.679 us    |  sealfs_show_options [sealfs]();
 1)   0.496 us    |  sealfs_show_options [sealfs]();
 1)   0.713 us    |  sealfs_show_options [sealfs]();
 1)   0.639 us    |  sealfs_show_options [sealfs]();
 1)   0.621 us    |  sealfs_show_options [sealfs]();
 1)   0.667 us    |  sealfs_show_options [sealfs]();
 1)   0.836 us    |  sealfs_show_options [sealfs]();
 1)   0.623 us    |  sealfs_show_options [sealfs]();
 1)   0.620 us    |  sealfs_show_options [sealfs]();
 1)   0.470 us    |  sealfs_show_options [sealfs]();
 1)   0.535 us    |  sealfs_show_options [sealfs]();
 1)   0.454 us    |  sealfs_show_options [sealfs]();
 1)   0.834 us    |  sealfs_show_options [sealfs]();
 1)   0.771 us    |  sealfs_show_options [sealfs]();
 1)   1.182 us    |  sealfs_show_options [sealfs]();
 1)   0.786 us    |  sealfs_show_options [sealfs]();
 1)   0.929 us    |  sealfs_show_options [sealfs]();
 1)   0.742 us    |  sealfs_show_options [sealfs]();
 1)   0.741 us    |  sealfs_show_options [sealfs]();
 1)   0.718 us    |  sealfs_show_options [sealfs]();
 1)   0.752 us    |  sealfs_show_options [sealfs]();
 1)   0.551 us    |  sealfs_show_options [sealfs]();
 1)   0.604 us    |  sealfs_show_options [sealfs]();
 1)   0.620 us    |  sealfs_show_options [sealfs]();
 1)   0.741 us    |  sealfs_show_options [sealfs]();
 1)   0.494 us    |  sealfs_show_options [sealfs]();
 1)   0.615 us    |  sealfs_show_options [sealfs]();
 1)   0.661 us    |  sealfs_show_options [sealfs]();
 1)   0.783 us    |  sealfs_show_options [sealfs]();
 1)   0.593 us    |  sealfs_show_options [sealfs]();
 7) * 11051.85 us |  sealfs_write [sealfs]();
 7) * 10946.21 us |  sealfs_write [sealfs]();
 7) * 11290.09 us |  sealfs_write [sealfs]();
 7) * 10616.68 us |  sealfs_write [sealfs]();
 7) * 12852.49 us |  sealfs_write [sealfs]();
 7) * 10153.41 us |  sealfs_write [sealfs]();
 7) * 10643.78 us |  sealfs_write [sealfs]();
 7) * 10125.09 us |  sealfs_write [sealfs]();
 7) * 10429.44 us |  sealfs_write [sealfs]();
 7) * 11266.75 us |  sealfs_write [sealfs]();
