TiAGo Throughtput on All Tests,Bandwidth (kB/s)
sealfs_video,9943.04
sealfs_video,9943.04
sealfs_video,9943.04
ext4_video,9953.28
ext4_video,9953.28
ext4_video,9953.28
ext4_video,9953.28
ext4_video,9953.28
ext4_video,9953.28
sealfs_video,9953.28
sealfs_video,9953.28
sealfs_video,9953.28
ext4_video,9963.52
ext4_video,9963.52
ext4_video,9963.52
ext4_video,9963.52
sealfs_video,9963.52
sealfs_video,9963.52
sealfs_video,9963.52
sealfs_video,9963.52
sealfs_video,9963.52
sealfs_video,9963.52
sealfs_video,9963.52
sealfs_video,9963.52
ext4_video,9973.76
ext4_video,9973.76
ext4_video,9973.76
ext4_video,9973.76
sealfs_video,9973.76
sealfs_video,9973.76
sealfs_video,9973.76
sealfs_video,9973.76
sealfs_video,9973.76
sealfs_video,9973.76
sealfs_video,9973.76
sealfs_video,9973.76
sealfs_video,9973.76
ext4_video,9984
ext4_video,9984
ext4_video,9984
ext4_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
sealfs_video,9984
ext4_video,9994.24
ext4_video,9994.24
ext4_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
sealfs_video,9994.24
ext4_video,10004.48
ext4_video,10004.48
ext4_video,10004.48
sealfs_video,10004.48
sealfs_video,10004.48
sealfs_video,10004.48
sealfs_video,10004.48
ext4_video,10014.72
sealfs_video,10014.72
sealfs_video,10014.72
sealfs_video,10014.72
sealfs_video,10014.72
ext4_video,10024.96
ext4_video,10024.96
ext4_video,10024.96
sealfs_video,10024.96
sealfs_video,10024.96
sealfs_video,10024.96
sealfs_video,10024.96
sealfs_video,10024.96
sealfs_video,10024.96
sealfs_video,10024.96
sealfs_video,10024.96
sealfs_video,10024.96
ext4_video,10035.2
sealfs_video,10035.2
sealfs_video,10035.2
ext4_video,10045.44
sealfs_video,10045.44
ext4_video,10055.68
sealfs_video,10055.68
sealfs_video,10055.68
sealfs_video,10065.92
sealfs_video,10065.92
sealfs_video,10065.92
sealfs_video,10065.92
sealfs_video,10065.92
sealfs_video,10065.92
sealfs_video,10076.16
sealfs_video,10086.4
sealfs_video,10086.4
ext4_video,10096.64
sealfs_video,10096.64
sealfs_video,10096.64
ext4_video,10106.88
ext4_video,10106.88
sealfs_video,10106.88
ext4_video,10117.12
sealfs_video,10117.12
sealfs_video,10117.12
ext4_video,10127.36
ext4_video,10127.36
ext4_video,10127.36
sealfs_video,10127.36
sealfs_video,10127.36
sealfs_video,10127.36
sealfs_video,10127.36
ext4_video,10147.84
ext4_video,10147.84
ext4_video,10158.08
ext4_video,10158.08
sealfs_video,10158.08
sealfs_video,10158.08
sealfs_video,10158.08
sealfs_video,10158.08
sealfs_video,10168.32
sealfs_video,10168.32
sealfs_video,10168.32
ext4_video,10178.56
ext4_video,10178.56
sealfs_video,10178.56
sealfs_video,10178.56
ext4_video,10188.8
sealfs_video,10188.8
sealfs_video,10188.8
sealfs_video,10188.8
sealfs_video,10188.8
sealfs_video,10188.8
ext4_video,10199.04
sealfs_video,10199.04
sealfs_video,10199.04
sealfs_video,10209.28
sealfs_video,10209.28
sealfs_video,10209.28
ext4_video,10219.52
sealfs_video,10219.52
sealfs_video,10219.52
ext4_video,10229.76
ext4_video,10229.76
ext4_video,10229.76
sealfs_video,10229.76
sealfs_video,10229.76
sealfs_video,10240
sealfs_video,10250.24
sealfs_video,10250.24
ext4_video,10260.48
sealfs_video,10260.48
ext4_video,10270.72
ext4_video,10270.72
sealfs_video,10270.72
ext4_video,10280.96
ext4_video,10280.96
sealfs_video,10280.96
sealfs_video,10280.96
sealfs_video,10280.96
ext4_video,10291.2
ext4_video,10301.44
ext4_video,10301.44
ext4_video,10311.68
sealfs_video,10311.68
sealfs_video,10311.68
sealfs_video,10311.68
ext4_video,10332.16
ext4_video,10342.4
ext4_video,10342.4
ext4_video,10352.64
ext4_video,10352.64
sealfs_video,10352.64
sealfs_video,10352.64
sealfs_video,10352.64
sealfs_video,10362.88
sealfs_video,10362.88
sealfs_video,10362.88
sealfs_video,10362.88
sealfs_video,10362.88
sealfs_video,10362.88
ext4_video,10373.12
ext4_video,10373.12
sealfs_video,10373.12
sealfs_video,10373.12
ext4_video,10383.36
sealfs_video,10383.36
ext4_video,10393.6
ext4_video,10393.6
ext4_video,10393.6
sealfs_video,10393.6
sealfs_video,10393.6
ext4_video,10403.84
ext4_video,10403.84
ext4_video,10403.84
ext4_video,10403.84
ext4_video,10403.84
sealfs_video,10403.84
sealfs_video,10403.84
sealfs_video,10403.84
sealfs_video,10403.84
ext4_video,10414.08
ext4_video,10414.08
ext4_video,10414.08
sealfs_video,10414.08
sealfs_video,10414.08
ext4_video,10424.32
ext4_video,10424.32
ext4_video,10424.32
sealfs_video,10424.32
sealfs_video,10424.32
sealfs_video,10424.32
sealfs_video,10424.32
ext4_video,10434.56
ext4_video,10434.56
ext4_video,10434.56
ext4_video,10434.56
sealfs_video,10434.56
sealfs_video,10434.56
sealfs_video,10434.56
sealfs_video,10434.56
ext4_video,10444.8
ext4_video,10444.8
ext4_video,10444.8
ext4_video,10444.8
sealfs_video,10444.8
sealfs_video,10455.04
sealfs_video,10455.04
ext4_video,10465.28
ext4_video,10465.28
ext4_video,10465.28
ext4_video,10465.28
ext4_video,10465.28
ext4_video,10465.28
sealfs_video,10465.28
sealfs_video,10465.28
sealfs_video,10465.28
sealfs_video,10465.28
ext4_video,10475.52
ext4_video,10475.52
ext4_video,10475.52
ext4_video,10475.52
sealfs_video,10475.52
sealfs_video,10475.52
ext4_video,10485.76
ext4_video,10485.76
ext4_video,10485.76
ext4_video,10485.76
ext4_video,10485.76
sealfs_video,10485.76
sealfs_video,10485.76
sealfs_video,10485.76
sealfs_video,10485.76
sealfs_video,10485.76
ext4_video,10496
ext4_video,10496
ext4_video,10496
sealfs_video,10496
sealfs_video,10496
sealfs_video,10496
sealfs_video,10506.24
sealfs_video,10506.24
sealfs_video,10506.24
sealfs_video,10506.24
sealfs_video,10506.24
ext4_video,10516.48
ext4_video,10516.48
ext4_video,10516.48
ext4_video,10516.48
ext4_video,10516.48
sealfs_video,10516.48
sealfs_video,10516.48
sealfs_video,10516.48
ext4_video,10526.72
ext4_video,10526.72
ext4_video,10526.72
ext4_video,10526.72
sealfs_video,10526.72
sealfs_video,10526.72
sealfs_video,10526.72
sealfs_video,10526.72
ext4_video,10536.96
ext4_video,10536.96
ext4_video,10536.96
ext4_video,10536.96
ext4_video,10536.96
sealfs_video,10536.96
sealfs_video,10536.96
ext4_video,10547.2
ext4_video,10547.2
ext4_video,10547.2
ext4_video,10547.2
ext4_video,10547.2
sealfs_video,10547.2
sealfs_video,10547.2
ext4_video,10557.44
ext4_video,10557.44
sealfs_video,10557.44
sealfs_video,10557.44
sealfs_video,10557.44
sealfs_video,10557.44
ext4_video,10567.68
ext4_video,10567.68
ext4_video,10567.68
ext4_video,10567.68
ext4_video,10567.68
ext4_video,10567.68
ext4_video,10567.68
ext4_video,10567.68
sealfs_video,10567.68
sealfs_video,10567.68
sealfs_video,10567.68
sealfs_video,10567.68
sealfs_video,10567.68
sealfs_video,10567.68
sealfs_video,10567.68
sealfs_video,10567.68
sealfs_video,10567.68
ext4_video,10577.92
ext4_video,10577.92
ext4_video,10577.92
ext4_video,10577.92
ext4_video,10577.92
ext4_video,10577.92
ext4_video,10577.92
ext4_video,10577.92
sealfs_video,10577.92
sealfs_video,10577.92
sealfs_video,10577.92
sealfs_video,10577.92
sealfs_video,10577.92
sealfs_video,10577.92
sealfs_video,10577.92
ext4_video,10588.16
ext4_video,10588.16
ext4_video,10588.16
ext4_video,10588.16
ext4_video,10588.16
ext4_video,10588.16
ext4_video,10588.16
ext4_video,10588.16
sealfs_video,10588.16
sealfs_video,10588.16
sealfs_video,10588.16
sealfs_video,10588.16
sealfs_video,10588.16
sealfs_video,10588.16
sealfs_video,10588.16
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
