TiAGo Throughtput on Audio Test,Bandwidth (kB/s)
sealfs,126.83
ext4,126.81
ext4,126.8
sealfs,126.8
ext4,126.79
sealfs,126.78
ext4,126.77
ext4,126.74
sealfs,126.74
sealfs,126.72
ext4,126.71
sealfs,126.68
sealfs,126.65
sealfs,126.59
sealfs,126.59
ext4,126.58
ext4,126.57
sealfs,126.55
ext4,126.54
sealfs,126.51
ext4,126.5
ext4,126.44
sealfs,126.39
sealfs,126.38
ext4,126.29
ext4,126.23
sealfs,126.17
ext4,126.05
sealfs,125.98
ext4,125.84
ext4,125.75
sealfs,125.72
ext4,125.18
sealfs,125.08
ext4,124.77
ext4,124.59
ext4,124.59
ext4,124.56
sealfs,124.55
ext4,124.51
ext4,124.47
ext4,124.42
sealfs,124.39
sealfs,124.37
sealfs,124.33
ext4,124.32
ext4,124.3
ext4,124.27
ext4,124.26
ext4,124.26
ext4,124.26
sealfs,124.24
ext4,124.22
ext4,124.21
sealfs,124.21
sealfs,124.21
sealfs,124.2
ext4,124.19
ext4,124.16
sealfs,124.16
ext4,124.14
sealfs,124.12
sealfs,124.12
sealfs,124.11
sealfs,124.08
ext4,124.07
sealfs,124.07
ext4,124.05
ext4,124.05
sealfs,124.05
ext4,124.04
ext4,124.04
sealfs,124.03
ext4,124.02
sealfs,124
ext4,123.97
ext4,123.96
ext4,123.94
sealfs,123.93
sealfs,123.93
sealfs,123.91
ext4,123.89
ext4,123.88
ext4,123.88
sealfs,123.81
sealfs,123.8
ext4,123.79
ext4,123.79
sealfs,123.79
ext4,123.78
sealfs,123.77
ext4,123.76
sealfs,123.75
sealfs,123.74
sealfs,123.74
sealfs,123.72
sealfs,123.71
sealfs,123.7
ext4,123.69
sealfs,123.68
ext4,123.67
ext4,123.64
ext4,123.64
ext4,123.64
sealfs,123.62
ext4,123.54
ext4,123.48
ext4,123.45
ext4,123.42
ext4,123.4
sealfs,123.38
ext4,123.37
sealfs,123.35
ext4,123.34
ext4,123.33
ext4,123.28
ext4,123.27
ext4,123.27
sealfs,123.26
sealfs,123.2
sealfs,123.04
ext4,123.02
ext4,122.93
sealfs,122.58
sealfs,122.57
sealfs,122.48
ext4,122.32
ext4,122.21
sealfs,122.11
ext4,122.1
sealfs,121.64
sealfs,120.7
