TiAGo Throughtput on Audio Test,Bandwidth (kB/s)
ext4,142.35
ext4,142.35
sealfs,142.35
ext4,142.34
ext4,142.34
sealfs,142.33
ext4,142.32
sealfs,142.32
sealfs,142.3
ext4,142.29
sealfs,142.29
sealfs,142.29
sealfs,142.29
sealfs,142.29
ext4,142.28
sealfs,142.28
ext4,142.27
sealfs,142.27
sealfs,142.26
sealfs,142.26
ext4,142.25
sealfs,142.25
sealfs,142.25
ext4,142.24
sealfs,142.24
sealfs,142.24
sealfs,142.24
ext4,142.23
ext4,142.22
ext4,142.21
sealfs,142.21
sealfs,142.21
sealfs,142.2
sealfs,142.2
sealfs,142.2
ext4,142.19
sealfs,142.19
sealfs,142.19
sealfs,142.18
ext4,142.17
ext4,142.17
sealfs,142.17
ext4,142.16
ext4,142.16
sealfs,142.16
ext4,142.15
ext4,142.14
sealfs,142.14
ext4,142.13
ext4,142.13
ext4,142.13
ext4,142.12
sealfs,142.12
ext4,142.1
sealfs,142.09
sealfs,142.09
ext4,142.08
ext4,142.07
sealfs,142.07
ext4,142.06
sealfs,142.05
sealfs,142.04
ext4,142.02
ext4,142.02
sealfs,142.02
sealfs,142.01
ext4,141.98
ext4,141.96
sealfs,141.93
sealfs,141.91
ext4,141.9
sealfs,141.9
sealfs,141.9
sealfs,141.89
ext4,141.88
ext4,141.87
sealfs,141.87
sealfs,141.86
sealfs,141.86
ext4,141.85
sealfs,141.84
sealfs,141.83
sealfs,141.79
sealfs,141.78
ext4,141.77
ext4,141.77
sealfs,141.77
sealfs,141.77
sealfs,141.74
sealfs,141.72
ext4,141.71
sealfs,141.7
ext4,141.68
sealfs,141.68
sealfs,141.66
sealfs,141.66
sealfs,141.65
sealfs,141.62
sealfs,141.57
ext4,141.53
ext4,141.51
sealfs,141.5
sealfs,141.47
sealfs,141.44
ext4,141.38
ext4,141.35
sealfs,141.28
sealfs,141.24
ext4,141.23
ext4,141.1
sealfs,141.03
sealfs,140.97
ext4,140.62
ext4,140.48
ext4,140.46
ext4,140.42
sealfs,140.4
sealfs,140.39
sealfs,140.33
sealfs,140.32
sealfs,140.32
ext4,140.22
sealfs,140.13
ext4,140.06
ext4,139.95
ext4,139.94
ext4,139.88
ext4,139.86
sealfs,139.83
sealfs,139.79
sealfs,139.78
sealfs,139.77
ext4,139.7
ext4,139.67
sealfs,139.65
ext4,139.61
ext4,139.6
ext4,139.57
sealfs,139.57
ext4,139.53
sealfs,139.53
ext4,139.52
ext4,139.52
ext4,139.51
ext4,139.51
ext4,139.51
ext4,139.5
ext4,139.49
sealfs,139.49
ext4,139.47
sealfs,139.47
ext4,139.46
sealfs,139.46
ext4,139.45
ext4,139.45
ext4,139.44
sealfs,139.44
sealfs,139.44
ext4,139.43
sealfs,139.43
sealfs,139.43
ext4,139.42
ext4,139.42
sealfs,139.42
ext4,139.41
ext4,139.41
sealfs,139.41
ext4,139.4
sealfs,139.4
sealfs,139.4
ext4,139.39
ext4,139.38
ext4,139.38
sealfs,139.38
sealfs,139.38
ext4,139.36
ext4,139.36
sealfs,139.36
sealfs,139.36
sealfs,139.35
sealfs,139.35
sealfs,139.35
sealfs,139.35
ext4,139.34
ext4,139.34
ext4,139.33
ext4,139.33
sealfs,139.33
ext4,139.32
ext4,139.32
sealfs,139.32
sealfs,139.32
sealfs,139.32
ext4,139.3
ext4,139.3
ext4,139.3
sealfs,139.3
ext4,139.29
ext4,139.29
ext4,139.29
ext4,139.29
ext4,139.29
ext4,139.29
sealfs,139.29
ext4,139.28
ext4,139.28
sealfs,139.28
ext4,139.27
ext4,139.27
ext4,139.27
sealfs,139.27
sealfs,139.27
sealfs,139.27
ext4,139.26
ext4,139.26
ext4,139.26
ext4,139.26
ext4,139.26
ext4,139.26
sealfs,139.26
sealfs,139.26
ext4,139.25
ext4,139.25
ext4,139.25
sealfs,139.25
sealfs,139.25
ext4,139.24
ext4,139.24
sealfs,139.24
sealfs,139.24
sealfs,139.24
ext4,139.23
sealfs,139.23
sealfs,139.23
sealfs,139.23
sealfs,139.23
ext4,139.22
ext4,139.22
sealfs,139.22
sealfs,139.22
ext4,139.21
ext4,139.21
sealfs,139.21
sealfs,139.21
sealfs,139.21
sealfs,139.21
ext4,139.2
ext4,139.2
sealfs,139.2
sealfs,139.2
ext4,139.19
ext4,139.19
ext4,139.19
ext4,139.19
ext4,139.19
ext4,139.18
ext4,139.18
sealfs,139.18
sealfs,139.18
sealfs,139.18
sealfs,139.18
sealfs,139.18
sealfs,139.17
ext4,139.16
sealfs,139.16
sealfs,139.16
ext4,139.15
ext4,139.15
ext4,139.15
sealfs,139.15
sealfs,139.15
sealfs,139.15
ext4,139.14
sealfs,139.14
sealfs,139.14
ext4,139.13
ext4,139.13
ext4,139.13
sealfs,139.13
