TiAGo Throughtput on Video Test,Bandwidth (kB/s)
sealfs,9994.24
sealfs,9994.24
sealfs,9994.24
sealfs,9994.24
sealfs,9994.24
ext4,10004.48
ext4,10004.48
ext4,10004.48
sealfs,10004.48
sealfs,10004.48
sealfs,10004.48
sealfs,10004.48
ext4,10014.72
sealfs,10014.72
sealfs,10014.72
sealfs,10014.72
sealfs,10014.72
ext4,10024.96
ext4,10024.96
ext4,10024.96
sealfs,10024.96
sealfs,10024.96
sealfs,10024.96
sealfs,10024.96
sealfs,10024.96
sealfs,10024.96
sealfs,10024.96
sealfs,10024.96
sealfs,10024.96
ext4,10035.2
sealfs,10035.2
sealfs,10035.2
ext4,10045.44
sealfs,10045.44
ext4,10055.68
sealfs,10055.68
sealfs,10055.68
sealfs,10065.92
sealfs,10065.92
sealfs,10065.92
sealfs,10065.92
sealfs,10065.92
sealfs,10065.92
sealfs,10076.16
sealfs,10086.4
sealfs,10086.4
ext4,10096.64
sealfs,10096.64
sealfs,10096.64
ext4,10106.88
ext4,10106.88
sealfs,10106.88
ext4,10117.12
sealfs,10117.12
sealfs,10117.12
ext4,10127.36
ext4,10127.36
ext4,10127.36
sealfs,10127.36
sealfs,10127.36
sealfs,10127.36
sealfs,10127.36
ext4,10147.84
ext4,10147.84
ext4,10158.08
ext4,10158.08
sealfs,10158.08
sealfs,10158.08
sealfs,10158.08
sealfs,10158.08
sealfs,10168.32
sealfs,10168.32
sealfs,10168.32
ext4,10178.56
ext4,10178.56
sealfs,10178.56
sealfs,10178.56
ext4,10188.8
sealfs,10188.8
sealfs,10188.8
sealfs,10188.8
sealfs,10188.8
sealfs,10188.8
ext4,10199.04
sealfs,10199.04
sealfs,10199.04
sealfs,10209.28
sealfs,10209.28
sealfs,10209.28
ext4,10219.52
sealfs,10219.52
sealfs,10219.52
ext4,10229.76
ext4,10229.76
ext4,10229.76
sealfs,10229.76
sealfs,10229.76
sealfs,10240
sealfs,10250.24
sealfs,10250.24
ext4,10260.48
sealfs,10260.48
ext4,10270.72
ext4,10270.72
sealfs,10270.72
ext4,10280.96
ext4,10280.96
sealfs,10280.96
sealfs,10280.96
sealfs,10280.96
ext4,10291.2
ext4,10301.44
ext4,10301.44
ext4,10311.68
sealfs,10311.68
sealfs,10311.68
sealfs,10311.68
ext4,10332.16
ext4,10342.4
