TiAGo Throughtput on Video Test,Bandwidth (kB/s)
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
ext4,10864.64
ext4,10864.64
ext4,10864.64
ext4,10864.64
ext4,10864.64
ext4,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
sealfs,10864.64
ext4,10874.88
ext4,10874.88
ext4,10874.88
ext4,10874.88
ext4,10874.88
ext4,10874.88
ext4,10874.88
ext4,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
sealfs,10874.88
ext4,10885.12
ext4,10885.12
sealfs,10885.12
sealfs,10885.12
sealfs,10885.12
sealfs,10885.12
sealfs,10885.12
sealfs,10885.12
sealfs,10885.12
sealfs,10885.12
sealfs,10885.12
sealfs,10885.12
ext4,10895.36
ext4,10895.36
ext4,10895.36
sealfs,10895.36
sealfs,10895.36
sealfs,10895.36
sealfs,10895.36
sealfs,10895.36
sealfs,10895.36
sealfs,10895.36
sealfs,10895.36
sealfs,10895.36
ext4,10905.6
sealfs,10905.6
sealfs,10905.6
sealfs,10905.6
sealfs,10905.6
sealfs,10905.6
sealfs,10905.6
ext4,10915.84
sealfs,10915.84
ext4,10926.08
ext4,10926.08
sealfs,10926.08
ext4,10936.32
sealfs,10936.32
sealfs,10936.32
sealfs,10936.32
sealfs,10936.32
sealfs,10936.32
ext4,10946.56
ext4,10946.56
sealfs,10946.56
sealfs,10946.56
sealfs,10946.56
ext4,10956.8
ext4,10967.04
ext4,10977.28
sealfs,10977.28
sealfs,10977.28
ext4,10987.52
ext4,10987.52
ext4,10997.76
sealfs,10997.76
ext4,11008
ext4,11008
ext4,11008
sealfs,11008
ext4,11028.48
sealfs,11028.48
sealfs,11028.48
sealfs,11028.48
sealfs,11028.48
sealfs,11038.72
ext4,11048.96
sealfs,11048.96
sealfs,11048.96
ext4,11059.2
ext4,11079.68
ext4,11079.68
ext4,11089.92
sealfs,11264
ext4,11407.36
ext4,11530.24
sealfs,11601.92
ext4,11653.12
ext4,11663.36
sealfs,11704.32
sealfs,11714.56
sealfs,11714.56
ext4,11735.04
ext4,11796.48
ext4,11796.48
sealfs,11796.48
ext4,11816.96
ext4,11847.68
ext4,11857.92
ext4,11868.16
ext4,11878.4
ext4,11888.64
ext4,11898.88
ext4,11898.88
ext4,11898.88
ext4,11909.12
ext4,11909.12
sealfs,11909.12
ext4,11919.36
sealfs,11919.36
ext4,11929.6
ext4,11929.6
ext4,11929.6
ext4,11929.6
sealfs,11929.6
ext4,11950.08
sealfs,11950.08
sealfs,11950.08
ext4,11970.56
sealfs,12011.52
ext4,12093.44
sealfs,12144.64
ext4,12165.12
ext4,12175.36
sealfs,12206.08
sealfs,12216.32
ext4,12236.8
sealfs,12277.76
ext4,12318.72
ext4,12339.2
ext4,12359.68
ext4,12369.92
sealfs,12380.16
ext4,12390.4
ext4,12441.6
ext4,12472.32
ext4,12482.56
sealfs,12503.04
ext4,12533.76
ext4,12615.68
sealfs,12615.68
ext4,12636.16
sealfs,12646.4
ext4,12656.64
ext4,12656.64
ext4,12666.88
ext4,12666.88
sealfs,12666.88
ext4,12677.12
ext4,12687.36
ext4,12707.84
ext4,12707.84
ext4,12707.84
ext4,12718.08
ext4,12738.56
ext4,12748.8
ext4,12759.04
ext4,12769.28
ext4,12769.28
ext4,12769.28
ext4,12769.28
ext4,12769.28
ext4,12769.28
ext4,12779.52
ext4,12779.52
ext4,12789.76
ext4,12789.76
sealfs,12789.76
ext4,12800
ext4,12800
ext4,12800
ext4,12800
ext4,12800
ext4,12800
sealfs,12800
ext4,12810.24
ext4,12810.24
ext4,12820.48
ext4,12820.48
ext4,12820.48
ext4,12830.72
ext4,12830.72
sealfs,12840.96
ext4,12851.2
ext4,12851.2
ext4,12861.44
ext4,12871.68
ext4,12871.68
ext4,12871.68
ext4,12871.68
ext4,12871.68
ext4,12881.92
ext4,12881.92
ext4,12881.92
ext4,12881.92
ext4,12881.92
sealfs,12892.16
sealfs,12892.16
ext4,12902.4
sealfs,12902.4
ext4,12912.64
ext4,12912.64
ext4,12922.88
ext4,12922.88
ext4,12922.88
ext4,12933.12
ext4,12933.12
ext4,12933.12
ext4,12943.36
ext4,12943.36
ext4,12953.6
ext4,12953.6
ext4,12953.6
ext4,12963.84
ext4,12963.84
sealfs,12984.32
ext4,12994.56
ext4,13004.8
sealfs,13004.8
ext4,13025.28
sealfs,13035.52
ext4,13076.48
sealfs,13076.48
sealfs,13076.48
ext4,13086.72
ext4,13117.44
sealfs,13117.44
ext4,13137.92
sealfs,13178.88
