Summit Latency on Navigation Test,time (uS)
sealfs_write,84.097
sealfs_write,84.004
sealfs_write,83.97
sealfs_write,83.902
sealfs_write,83.742
sealfs_write,83.235
sealfs_write,83.088
sealfs_write,82.89
sealfs_write,82.848
sealfs_write,82.783
sealfs_write,82.766
sealfs_write,82.68
sealfs_write,82.555
sealfs_write,82.263
sealfs_write,82.247
sealfs_write,82.135
sealfs_write,82.014
sealfs_write,81.587
sealfs_write,80.992
sealfs_write,80.733
sealfs_write,80.648
sealfs_write,80.422
sealfs_write,80.329
sealfs_write,80.099
sealfs_write,80.003
sealfs_write,79.495
sealfs_write,79.373
sealfs_write,79.299
sealfs_write,79.016
sealfs_write,78.549
sealfs_write,78.517
sealfs_write,78.506
sealfs_write,76.813
sealfs_write,76.673
sealfs_write,75.837
sealfs_write,74.964
sealfs_write,74.693
sealfs_write,72.875
