Summit Latency on Video Test,time (uS)
ext4_write,1395.724
ext4_write,1395.727
ext4_write,1395.737
ext4_write,1395.85
ext4_write,1395.865
ext4_write,1395.866
ext4_write,1395.878
ext4_write,1395.91
ext4_write,1395.951
ext4_write,1395.951
ext4_write,1395.997
ext4_write,1395.998
ext4_write,1396.006
ext4_write,1396.009
ext4_write,1396.022
ext4_write,1396.03
ext4_write,1396.078
ext4_write,1396.095
ext4_write,1396.097
ext4_write,1396.136
ext4_write,1396.157
ext4_write,1396.246
ext4_write,1396.279
ext4_write,1396.288
ext4_write,1396.309
ext4_write,1396.4
ext4_write,1396.405
ext4_write,1396.452
ext4_write,1396.462
ext4_write,1396.493
ext4_write,1396.513
ext4_write,1396.547
ext4_write,1396.563
ext4_write,1396.639
ext4_write,1396.64
ext4_write,1396.641
ext4_write,1396.704
ext4_write,1396.707
ext4_write,1396.707
ext4_write,1396.734
ext4_write,1396.754
ext4_write,1396.763
ext4_write,1396.767
ext4_write,1396.781
ext4_write,1396.787
ext4_write,1396.801
ext4_write,1396.803
ext4_write,1396.825
ext4_write,1396.881
ext4_write,1396.906
ext4_write,1396.908
ext4_write,1396.908
ext4_write,1396.922
ext4_write,1396.986
ext4_write,1397.001
ext4_write,1397.051
ext4_write,1397.062
ext4_write,1397.077
ext4_write,1397.113
ext4_write,1397.166
ext4_write,1397.185
ext4_write,1397.2
ext4_write,1397.238
ext4_write,1397.282
ext4_write,1397.323
ext4_write,1397.345
ext4_write,1397.346
ext4_write,1397.383
ext4_write,1397.42
ext4_write,1397.458
ext4_write,1397.493
ext4_write,1397.505
ext4_write,1397.537
ext4_write,1397.538
ext4_write,1397.547
ext4_write,1397.556
ext4_write,1397.559
ext4_write,1397.594
ext4_write,1397.599
ext4_write,1397.606
ext4_write,1397.615
ext4_write,1397.641
ext4_write,1397.676
ext4_write,1397.694
ext4_write,1397.748
ext4_write,1397.777
ext4_write,1397.81
ext4_write,1397.815
ext4_write,1397.857
ext4_write,1397.862
ext4_write,1397.875
ext4_write,1397.987
ext4_write,1398.009
ext4_write,1398.014
ext4_write,1398.044
ext4_write,1398.094
ext4_write,1398.097
ext4_write,1398.136
ext4_write,1398.248
ext4_write,1398.277
ext4_write,1398.318
ext4_write,1398.366
ext4_write,1398.375
ext4_write,1398.479
ext4_write,1398.498
ext4_write,1398.507
ext4_write,1398.539
ext4_write,1398.568
ext4_write,1398.572
ext4_write,1398.586
ext4_write,1398.599
ext4_write,1398.61
ext4_write,1398.62
ext4_write,1398.638
ext4_write,1398.66
ext4_write,1398.662
ext4_write,1398.669
ext4_write,1398.71
ext4_write,1398.744
ext4_write,1398.75
ext4_write,1398.799
ext4_write,1398.865
ext4_write,1398.922
ext4_write,1398.929
ext4_write,1398.932
ext4_write,1398.94
ext4_write,1398.943
ext4_write,1398.951
ext4_write,1398.952
ext4_write,1398.983
ext4_write,1398.985
ext4_write,1398.988
ext4_write,1398.992
ext4_write,1399.001
ext4_write,1399.001
ext4_write,1399.008
ext4_write,1399.027
ext4_write,1399.047
ext4_write,1399.057
ext4_write,1399.067
ext4_write,1399.075
ext4_write,1399.121
ext4_write,1399.124
ext4_write,1399.127
ext4_write,1399.158
ext4_write,1399.233
ext4_write,1399.241
ext4_write,1399.263
ext4_write,1399.274
ext4_write,1399.324
ext4_write,1399.383
ext4_write,1399.385
ext4_write,1399.387
ext4_write,1399.42
ext4_write,1399.436
ext4_write,1399.437
ext4_write,1399.513
ext4_write,1399.522
ext4_write,1399.525
ext4_write,1399.562
ext4_write,1399.604
ext4_write,1399.608
ext4_write,1399.615
ext4_write,1399.62
ext4_write,1399.694
ext4_write,1399.727
ext4_write,1399.732
ext4_write,1399.744
ext4_write,1399.764
ext4_write,1399.795
ext4_write,1399.823
