Summit Latency on Audio Test,time (uS)
ext4_write,85.793
ext4_write,85.781
ext4_write,85.781
ext4_write,85.733
ext4_write,85.727
ext4_write,85.676
ext4_write,85.664
ext4_write,85.574
ext4_write,85.564
ext4_write,85.538
ext4_write,85.536
ext4_write,85.498
ext4_write,85.495
ext4_write,85.487
ext4_write,85.481
ext4_write,85.463
ext4_write,85.442
ext4_write,85.436
ext4_write,85.374
ext4_write,85.368
ext4_write,85.364
ext4_write,85.343
ext4_write,85.285
ext4_write,85.258
ext4_write,85.25
ext4_write,85.242
ext4_write,85.228
ext4_write,85.219
ext4_write,85.216
ext4_write,85.199
ext4_write,85.188
ext4_write,85.187
ext4_write,85.181
ext4_write,85.18
ext4_write,85.163
ext4_write,85.16
ext4_write,85.086
ext4_write,85.001
ext4_write,84.966
ext4_write,84.909
ext4_write,84.877
ext4_write,84.857
ext4_write,84.84
ext4_write,84.739
ext4_write,84.726
ext4_write,84.668
ext4_write,84.628
ext4_write,84.627
ext4_write,84.621
ext4_write,84.61
ext4_write,84.594
ext4_write,84.591
ext4_write,84.563
ext4_write,84.55
ext4_write,84.546
ext4_write,84.543
ext4_write,84.531
ext4_write,84.526
ext4_write,84.499
ext4_write,84.441
ext4_write,84.438
ext4_write,84.425
ext4_write,84.406
ext4_write,84.399
ext4_write,84.392
ext4_write,84.391
ext4_write,84.388
ext4_write,84.383
ext4_write,84.37
ext4_write,84.367
ext4_write,84.349
ext4_write,84.338
ext4_write,84.325
ext4_write,84.321
ext4_write,84.29
ext4_write,84.287
ext4_write,84.283
ext4_write,84.262
ext4_write,84.24
ext4_write,84.214
ext4_write,84.189
ext4_write,84.171
ext4_write,84.163
ext4_write,84.149
ext4_write,84.143
ext4_write,84.116
ext4_write,84.108
ext4_write,84.105
ext4_write,84.083
ext4_write,84.033
ext4_write,84.029
ext4_write,84.021
ext4_write,84.016
ext4_write,83.997
ext4_write,83.991
ext4_write,83.988
ext4_write,83.976
ext4_write,83.943
ext4_write,83.922
ext4_write,83.922
ext4_write,83.912
ext4_write,83.911
ext4_write,83.904
ext4_write,83.881
ext4_write,83.851
ext4_write,83.85
ext4_write,83.846
ext4_write,83.844
ext4_write,83.828
ext4_write,83.827
ext4_write,83.822
ext4_write,83.813
ext4_write,83.807
ext4_write,83.799
ext4_write,83.797
ext4_write,83.795
ext4_write,83.793
ext4_write,83.793
ext4_write,83.763
ext4_write,83.739
ext4_write,83.698
ext4_write,83.696
ext4_write,83.672
ext4_write,83.664
ext4_write,83.657
ext4_write,83.64
ext4_write,83.64
ext4_write,83.634
ext4_write,83.633
ext4_write,83.611
ext4_write,83.603
ext4_write,83.601
ext4_write,83.59
ext4_write,83.579
ext4_write,83.57
ext4_write,83.568
ext4_write,83.566
ext4_write,83.548
ext4_write,83.524
ext4_write,83.514
ext4_write,83.499
ext4_write,83.463
ext4_write,83.452
ext4_write,83.43
ext4_write,83.407
ext4_write,83.396
ext4_write,83.396
ext4_write,83.386
ext4_write,83.384
ext4_write,83.381
ext4_write,83.377
ext4_write,83.368
ext4_write,83.359
ext4_write,83.341
ext4_write,83.336
ext4_write,83.325
ext4_write,83.316
ext4_write,83.316
ext4_write,83.313
ext4_write,83.306
ext4_write,83.305
ext4_write,83.286
ext4_write,83.273
ext4_write,83.272
ext4_write,83.251
ext4_write,83.238
ext4_write,83.234
ext4_write,83.218
ext4_write,83.215
ext4_write,83.206
ext4_write,83.202
ext4_write,83.192
ext4_write,83.191
ext4_write,83.185
ext4_write,83.185
ext4_write,83.148
ext4_write,83.143
ext4_write,83.131
ext4_write,83.126
ext4_write,83.123
ext4_write,83.117
ext4_write,83.099
ext4_write,83.091
ext4_write,83.077
ext4_write,83.073
ext4_write,83.05
ext4_write,83.008
ext4_write,83.007
ext4_write,83.002
ext4_write,82.991
ext4_write,82.979
ext4_write,82.975
ext4_write,82.962
ext4_write,82.945
ext4_write,82.924
ext4_write,82.919
ext4_write,82.894
ext4_write,82.884
ext4_write,82.865
ext4_write,82.861
ext4_write,82.853
ext4_write,82.846
ext4_write,82.838
ext4_write,82.825
ext4_write,82.824
ext4_write,82.802
ext4_write,82.794
ext4_write,82.781
ext4_write,82.776
ext4_write,82.774
ext4_write,82.764
ext4_write,82.763
ext4_write,82.757
ext4_write,82.755
ext4_write,82.742
ext4_write,82.721
ext4_write,82.715
ext4_write,82.714
ext4_write,82.711
ext4_write,82.701
ext4_write,82.697
ext4_write,82.696
ext4_write,82.691
ext4_write,82.688
ext4_write,82.674
ext4_write,82.667
ext4_write,82.654
ext4_write,82.64
ext4_write,82.611
ext4_write,82.607
ext4_write,82.605
ext4_write,82.597
ext4_write,82.581
ext4_write,82.58
ext4_write,82.571
ext4_write,82.562
ext4_write,82.558
ext4_write,82.556
ext4_write,82.539
ext4_write,82.525
ext4_write,82.506
ext4_write,82.5
ext4_write,82.498
ext4_write,82.496
ext4_write,82.486
ext4_write,82.484
ext4_write,82.466
ext4_write,82.465
ext4_write,82.464
ext4_write,82.449
ext4_write,82.447
ext4_write,82.436
ext4_write,82.434
ext4_write,82.413
ext4_write,82.413
ext4_write,82.411
ext4_write,82.39
ext4_write,82.387
ext4_write,82.382
ext4_write,82.376
ext4_write,82.365
ext4_write,82.356
ext4_write,82.349
ext4_write,82.348
ext4_write,82.345
ext4_write,82.33
ext4_write,82.313
ext4_write,82.301
ext4_write,82.3
ext4_write,82.297
ext4_write,82.296
ext4_write,82.289
ext4_write,82.289
ext4_write,82.277
ext4_write,82.276
ext4_write,82.273
ext4_write,82.252
ext4_write,82.244
ext4_write,82.244
ext4_write,82.244
ext4_write,82.243
ext4_write,82.24
ext4_write,82.229
ext4_write,82.223
ext4_write,82.215
ext4_write,82.206
ext4_write,82.202
ext4_write,82.201
ext4_write,82.197
ext4_write,82.193
ext4_write,82.188
ext4_write,82.187
ext4_write,82.177
ext4_write,82.171
ext4_write,82.164
ext4_write,82.157
ext4_write,82.154
ext4_write,82.134
ext4_write,82.134
ext4_write,82.133
ext4_write,82.127
ext4_write,82.124
