Summit Latency on All Tests,time (uS)
sealfs_write_video,16869.71
sealfs_write_video,16869.26
sealfs_write_video,16861.77
sealfs_write_video,16861.48
sealfs_write_video,16859.12
sealfs_write_video,16857.1
sealfs_write_video,16856.57
sealfs_write_video,16852.55
sealfs_write_video,16844.73
sealfs_write_video,16837.64
sealfs_write_video,16836.82
sealfs_write_video,16835.39
sealfs_write_video,16832.36
sealfs_write_video,16832.34
sealfs_write_video,16830.74
sealfs_write_video,16827.14
sealfs_write_video,16825.83
sealfs_write_video,16823.57
sealfs_write_video,16816.43
sealfs_write_video,16814.4
sealfs_write_video,16809.56
sealfs_write_video,16807.9
sealfs_write_video,16806.22
sealfs_write_video,16802.29
sealfs_write_video,16802.27
sealfs_write_video,16801.91
sealfs_write_video,16796.07
sealfs_write_video,16795.11
sealfs_write_video,16794.01
sealfs_write_video,16790.38
sealfs_write_video,16785.48
sealfs_write_video,16784.68
sealfs_write_video,16784.55
sealfs_write_video,16784.3
sealfs_write_video,16781.75
sealfs_write_video,16777.87
sealfs_write_video,16777.27
sealfs_write_video,16776.37
sealfs_write_video,16773.99
sealfs_write_video,16772.57
sealfs_write_video,16769.03
sealfs_write_video,16766.36
sealfs_write_video,16766.25
sealfs_write_video,16761.95
sealfs_write_video,16758.14
sealfs_write_video,16757.96
sealfs_write_video,16757.58
sealfs_write_video,16757.2
sealfs_write_video,16754.48
sealfs_write_video,16752.99
sealfs_write_video,16751.5
sealfs_write_video,16746.35
sealfs_write_video,16745.29
sealfs_write_video,16744.21
sealfs_write_video,16743.71
sealfs_write_video,16741.87
sealfs_write_video,16740.08
sealfs_write_video,16738.46
sealfs_write_video,16738.33
sealfs_write_video,16737.97
sealfs_write_video,16737.38
sealfs_write_video,16728.7
sealfs_write_video,16728.46
sealfs_write_video,16727.68
sealfs_write_video,16720.98
sealfs_write_video,16717.98
sealfs_write_video,16717.12
sealfs_write_video,16716.18
sealfs_write_video,16713.32
sealfs_write_video,16711.26
sealfs_write_video,16710.47
sealfs_write_video,16708.88
sealfs_write_video,16708.18
sealfs_write_video,16707.48
sealfs_write_video,16706.78
sealfs_write_video,16702.34
sealfs_write_video,16700.15
sealfs_write_video,16696.03
sealfs_write_video,16691.81
sealfs_write_video,16688.46
sealfs_write_video,16684.97
sealfs_write_video,16684.93
sealfs_write_video,16684.66
sealfs_write_video,16683.56
sealfs_write_video,16683.06
sealfs_write_video,16681.86
sealfs_write_video,16674.18
sealfs_write_video,16671.79
sealfs_write_video,16670.28
sealfs_write_video,16669.91
sealfs_write_video,16665.66
sealfs_write_video,16665.47
sealfs_write_video,16664.67
sealfs_write_video,16663.36
sealfs_write_video,16662.09
sealfs_write_video,16660.03
